"Source:","http://www.lib.berkeley.edu/MRC/transgressivewomen.html"
"

Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies
"Dancing Mothers (1926)","Directed by Herbert Brenon. Cast: Conway Tearle, Alice Joyce, Clara Bow, Donald Keith, Dorothy Cumming, Elsie Lawson, Norman Trevor. Set during the 1920's flapper era a wealthy family is torn apart when the wife discovers that her husband is cheating on her. The shock opens her eyes for the first time to the selfishness and shallowness of her daughter and husband. Based on the play by Edgar Selwyn and Edmund Goulding. 64 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3150"">DVD X3150Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2669"">vhs 999:2669Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0016762"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/flapperbib.html#dancingmothers"">Ж
","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Kiki (1926)","Directed by Clarence Brown. Cast: Norma Talmadge, Jack Mulhall, Joseph Kilgour, Helen Ferguson, Eileen Percy, Lew Cody. A high-spirited Parisian gamine is determined to become a chorus girl and win the heart of the Follies manager, even if it means performing some rather unladylike stunts. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2921"">DVD X2921Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0017029/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Love 'em and Leave 'em (1926)","Director, Frank Tuttle. Cast: Evelyn Brent, Lawrence Gray, Louise Brooks. Brooks as jazz-baby and flirtatious flapper is almost more than big sister can handle, who bails her out when she gambles away the department store's party fund. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3151"">DVD X3151Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0017082/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Mantrap (1926)","Directed by Victor Fleming. Cast: Clara Bow, Ernest Torrence, Ralph Prescott. A young woman's flirtatious nature leads her to romantic adventures at a back woods outpost along the Canadian border in the 1920's. 66 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3150"">DVD X3150Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0017119/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Miss Mend: An Adventure Serial in Three Parts (Soviet Union, 1926)","Directors, Fyodor Otsep, Boris Barnet. Cast: Natalia Glan, Vladimir Fogel, Igor Ilyinsky. An action-packed adventure serial in three feature-length episodes, produced in Russia with the goal of rivaling, and possibly even surpassing, the most entertaining American movies of the 1920s. Based on a 1923 pulp novel allegedly written by the American ""Jim Dollar"" (actually the nom-de-plume of a Russian woman, Marietta Shaginian). The film's heroine, Vivian Mend, is an elegant urban professional who earns her own living and raises a child without the help of any man. Includes some pointed comments on labor relations, racism, excessive wealth, gratuitous violence and even rape. Special features: 2 documentaries (on disc 2): Miss Mend : a whirlwind vision of an imagined America; The music behind Miss Mend : the invisible orchestra. Booklet: Miss Mend and soviet americanism / Ana Olenina and Maxim Pozoodrovkin. 285 min.min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3625"">DVD X3625Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0017159/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"The Temptress(1926)","Directed by Fred Niblo. Cast: Greta Garbo, Antonio Moreno and Lionel Barrymore (106 min.) Unhappy wife Elena falls in love with a Spanish engineer, Robledo. When it is revealed that Elena is not only married, but has also been the mistress of a banker, Robledo returns to South America. Subsequently, Elena and her husband also go to South America. Years later Robledo returns to Paris and runs into Elena who does not seem to recognize him. Elena has become a pathetic drunkard who is apparently beyond Robledo's help. Based on the novel by Vicente Blasco Ibâ€¢225;â€¢241;ez. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4286"">DVD 4286Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0017449/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Hula (1927)","Director, Victor Fleming. Cast: Clara Bow, Clive Brook, Arlette Marchal, Albert Gran, Agostino Borgato. The daughter of a pineapple plantation owner in ""Hula"" Calhoun, the daughter of a Hawaiian Planter, sidesteps the dissolute influence of her father through the guidance of her Uncle Edwin, who prefers a more natural existence to the society life of the family. although Hula is adored by Harry Dehan, a boisterous rounder, she becomes infatuated with Anthony Haldane, a young English engineer who comes to supervise the construction of a dam on the estate. Haldane remains distant, however; and when saving her from a runaway horse, he informs her that he is married. At her birthday party, the broken-hearted girl turns to Dehan, and in a drunken frenzy she provokes Haldane by her dancing; he then promises to obtain a divorce, but Mrs. Haldane appears. Hula jealously bribes the foreman to dynamite a spot near the dam, convincing the wife that her husband is ruined. Haldane's wife agrees to the divorce, and he is free to marry Hula. (Information from ""American Film Institute Catalogue of Feature Films"".) 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3189"">DVD X3189Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0018016/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Abate, Michelle Ann. ""The tomboy shifts from feminist to flapper : Clara Bow in Victor Fleming's Hula."" In: Tomboys : a literary and cultural history / Michelle Ann Abate. Philadelphia : Temple University Press, 2008. (Main (Gardner) Stacks PS374.S46 A23 2008)


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/flapperbib.html#bow"">Clara Bow bibliographyЖ

","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Bare Knees(1928)","Director, Erle C. Kenton.. Cast: Virginia Lee Corbin, Donald Keith, Jane Winton, Johnnie Walker, Forrest Stanley, Maude Fulton. In this flapper movie from the roaring '20s Billie arrives home in the middle of her sister's birthday party and causes a sensation with her bare knees, bobbed hair, short skirts, new slang, cigarettes and other flapper accountrements. 61 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4471"">DVD X4471Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2671"">vhs 999:2671Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0018673/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"The Battle of the Sexes(1928)","Director, D.W. Griffith. Cast: Jean Hersholt, Phyllis Haver, Belle Bennett, Don Alvarado, Sally O'Neil. A middle-aged magnate makes a fool of himself when he strays from his loving wife and children into the cynical arms of a gold digger and her dishonest lover. Based on ""The single standard"" by Daniel Carson Goodman. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+374"">DVD 374Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0018678"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Beggars of Life(1928)","Directed by William A. Wellman. Cast: Wallace Beery, Louise Brooks, Richard Arlen, Blue Washington. After killing her treacherous step-father, a girl tries to escape the country with a young vagabond. She dresses as a boy, they hop freight trains, quarrel with a group of hobos, and steal a car in their attempt to escape the police, and reach Canada. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3097"">DVD X3097Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0018684/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
