"Source:","http://www.lib.berkeley.edu/MRC/disasterfilms.html"
"

Disaster Films


"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/disasterbib.html"">Disaster film bibliographyЖ","Disaster Films"
"The Hurricane (1937)","Directed by John Ford. Cast: Dorothy Lamour, Jon Hall, Raymond Massey, Mary Astor, C. Aubrey Smith. The simple, peaceful life on a South Pacific island is disrupted, not only by a vindictive governor but also by a violent typhoon. 103 min. 999:1243","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0029030/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Cassano, Graham. """"The Last of the World's Afflicted Race of Humans Who Believe in Freedom"" : Race, Colonial Whiteness and Imperialism in John Ford and Dudley Nichols's The Hurricane (1937)."" Journal of American Studies, Feb2010, Vol. 44 Issue 1, p117-136, 20p
Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=48376725&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Fitzsimmons, Lorna. ""Contra colonialism: Turning the edge in Ford's The Hurricane."" Literature/Film Quarterly. 2003. Vol. 31, Iss. 1; p. 57 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9708488&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Disaster Films"
"Jaws (1975)","Directed by Steven Spielberg. Cast: Robert Shaw, Roy Scheider, Richard Dreyfuss, Lorraine Gary, Murray Hamilton. When a man-eating shark causes havoc off the Long Island coast the police chief, a young ichthyologist and a shark fisherman join together to hunt and destroy it. Based on the novel by Peter Benchley. Special features: Documentary ""Spotlight on location : the making of Jaws"" (60 min.) / written, directed & produced by Laurent Bouzereau ; Universal Studios Home Video ; deleted scenes; outtakes; Get out of the water! trivia game; shark world; production photographs; original theatrical trailers. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2326"">DVD 2326Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0073195/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ

","Ѭ href=""http://www.lib.berkeley.edu/MRC/spielberg.html#jaws"">See separate bibliography of reviews and articles about this filmЖ
","Disaster Films"
"The Last Days of Pompeii (Ultimi giorni di Pompeii) (Italy, 1913)","Directed by Mario Caserini. An influential Italian epic that paved the way for elaborate costume dramas about the final hours of residents of Pompeii before the cataclysmic eruption of Mount Vesuvius. Among the last of the great tableaux films, most scenes are explained by a title, then dramatized within a single wide shot, a presentation style whose origins are more theatrical and literary than cinematic. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+523"">DVD 523Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0003489"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Life of an American Fireman (1903)","Directed by Edwin S. Porter Porter's sequential continuity editing links several shots to form a narrative of firemen responding to a house fire. They leave the station with their horse drawn pumper, arrive on the scene, and effect the safe rescue of a woman from the burning house. But wait, she tells them of her child yet asleep in the burning bedroom. 6 min. ; ; ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3552"">DVD 3552Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7983"">DVD 7983Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2946"">DVD 2946Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X116"">DVD X116Ж","Disaster Films"
"Melancholia (Denmark | Sweden | France | Germany, 2011)","Directed by Lars Von Trier. Cast: Kirsten Dunst, Charlotte Gainsbourg, Alexander Skarsgâ€¢229;rd, Brady Corbet, Cameron Spurr, Charlotte Rampling, Jesper Christensen, John Hurt, Stellan Skarsgâ€¢229;rd, Udo Kier, Kiefer Sutherland. Justine and Michael celebrate their marriage at a sumptuous party in the home of Justine's sister Claire, and brother-in-law John. Despite Claire's best efforts, the wedding is a fiasco with family tensions mounting and relationships fraying. Meanwhile, a planet called Melancholia is heading directly towards Earth threatening the very existence of humankind. 135 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7196"">DVD X7196Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1527186/"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/vontrierbib.html#melancholia"">See separate bibliography of reviews and articles about this filmЖ
","Disaster Films"
"Meteor (TV, 2009)","Directed by Ernie Barbarash. Cast: Billy Campbell, Christopher Lloyd, Ernie Hudson, Jason Alexander, Marla Sokoloff, Michael Rooker, Stacy Keach. Tracking an unparalleled series of meteor fireballs plummeting toward Earth, a renowned scientist, his assistant, and an on-target conspiracy theorist race against time to expose a government cover-up, reveal the truth, and prevent a massive meteor from destroying the planet. 188 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2636"">DVD X2636Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1260995/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"A Night to Remember (UK, 1958)","Directed by Roy Baker. Cast: Kenneth More, Honor Blackman, Michael Goodliffe, Kenneth Griffith, David McCallum, Tucker McGuire, John Merivale, Frank Lawton, Laurence Naismith, George Rose. This meticulous re-creation of the sinking of the Titanic was adapted by Eric Ambler from the best-selling book by Walter Lord. The film covers the life and death of the huge vessel from its launching celebration to that fateful night of April 14, 1912, when the ""unsinkable"" ship struck an iceberg in the North Atlantic. Special features: Audio commentary by Don Lynch and Ken Marschall; the making of ""A Night to Remember"" (1993), a 60 minute documentary featuring William MacQuitty's rare behind-the-scenes footage; includes original theatrical trailer. 123 min. ; also ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8185"">DVD 8185Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X287"">DVD X287Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0051994/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Geduld, Harry. ""Nearer My Wreck to Thee."" Humanist; Jul/Aug87, Vol. 47 Issue 4, p45-45, 1p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=10102002&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Howells, Richard. ""Atlantic Crossings: Nation, Class and Identity in Titanic (1953) and A Night to Remember (1958)."" Historical Journal of Film, Radio & Television, Oct99, Vol. 19 Issue 4, p421-438, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=2559008&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Richards, Jeffrey. A night to remember: the definitive Titanic film / Jeffrey Richards. London ; New York : I.B. Tauris ; New York : In the United States of America and Canada distributed by Palgrave Macmillan, c2003. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10133080"">Full text onlineЖ (UCB users only); print Main (Gardner) Stacks PN1997.N5222 R53 2003)


","Disaster Films"
"Outbreak (Canada, 2008)","Directed by Wolfgang Petersen. Cast: Dustin Hoffman, Rene Russo, Morgan Freeman, Cuba Gooding, Jr., Patrick Dempsey, Donald Sutherland, Kevin Spacey. A take-charge army virologist tryies to stave off global biological meltdown. A rare killer virus from the jungles of Zaire has taken hold in a California community. Its mortality rate is 100%. And some say the only way to stop its spread is to firebomb the town and everyone in it. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6607"">DVD X6607Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0114069/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Albertini, Bill. ""Contagion and the Necessary Accident."" Discourse: Journal for Theoretical Studies in Media & Culture, Fall2008, Vol. 30 Issue 3, p443-467, 25p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=44900605&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kemp, Philip. ""Outbreak"" Sight & Sound, May 1995, Vol. 5, p51-52, 2p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:journal:JID00374806"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Perkowitz, Sidney. ""Genes and Germs Gone Bad."" In: Hollywood science: movies, science, and the end of the world / Sidney Perkowitz. New York : Columbia University Press, 2010, c2007. (Ѭ href=""http://site.ebrary.com/lib/berkeley/Doc?id=10419494"">Full-text available onlineЖ [UC Berkeley users only]; Print: Main; Moffitt PN1995.9.S26 P47 2007)

","Disaster Films"
"Panic In the Streets (1950)","Directed by Elia Kazan. Cast: Richard Widmark, Paul Douglas, Barbara Bel Geddes. Classic crime melodrama about a twisted killer who harbors bubonic plague -- a deadly disease that could wipe out an entire city. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3848"">DVD 3848Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0042832/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/kubrick.html#panic"">See separate bibliography of reviews and articles about this filmЖ","Disaster Films"
"Poseidon (1972)","Directed by Wolfgang Petersen. Cast: Kurt Russell, Josh Lucas, Richard Dreyfuss, Jacinda Barrett, Emmy Rossum, Mike Vogel, Mia Maestro, Jimmy Bennett, Andre Braugher. On New Year's Eve, the luxury ocean liner, Poseidon, capsizes after being swamped by a rogue wave. The survivors are left to fight for survival as they attempt to escape the sinking ship. Based on the novel by Paul Gallico and the motion picture ""The Poseidon adventure."" Special features: ""Poseidon: A ship on a soundstage: The complexities of making a modern adventure movie"" ; theatrical trailer. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6061"">DVD X6061Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0409182/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Garry III, John P. ""Poseidon and The Poseidon Adventure."" Bright Lights Film Journal, Nov2006 Issue 54, p26-26, 1p Ѭ href=""http://www.brightlightsfilm.com/54/poseidon.htm"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;King, Claire Sisco. ""Rogue Waves, Remakes, and Resurrections: Allegorical Displacement and Screen Memory in ""Poseidon""."" Quarterly Journal of Speech, v94 n4 p430-454 Nov 2008. Ѭ href=""http://www.tandfonline.com/doi/pdf/10.1080/00335630802422204"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Lev, Peter ""Disaster and Conspiracy: Airport, The Poseidon Adventure, Jaws, The Parallax View, Chinatown."" In: American films of the 70s : conflicting visions / Peter Lev. Austin, TX : University of Texas Press, 2000. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10194811"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; Moffitt PN1993.5.U6 L44 2000)


","Disaster Films"
