"Source:","http://www.lib.berkeley.edu/MRC/cedlectures.html"
"
UC Berkeley
"[Berman, Marshall] A Hundred Years of Celebration.","A lecture by Marshall Berman who teaches political theory and urbanism at City College New York and City University New York and is noted for his seminal work on modernist experience in the 20th century. April 12, 2001. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7886"">Video/C 7886Ж","UC Berkeley
College of Environmental Design Lectures"
"[Bosse, Chris]Bubble-ism, Architectures of Foam","A lecture presented by German architect Chris Bosse in which he presents the design and construction of the 180 x 180-metre swimming centre for the Olympic Games in China, based on the geometry of foam bubbles. This event took place at the University of California, Berkeley on March 7, 2007. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7877"">DVD 7877Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2010]Branner Fellowship Award, 2010","Lectures presented by the 2010 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. Contents: Untested city : the unfinished project / Nicolette Mastrangelo -- RE:mote... controled : building in areas of isolation / Taylor Medlin -- Military atmospheres [aka. Military Pastoral] / Nicolas Sowers. This event took place at the University of California, Berkeley on February 10, 2010. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5967"">DVD X5967Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2009]Branner Fellowship Award, 2009","Lectures presented by the 2009 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. Contents: Neoliberal fragments: speculation and the urban landscape / Natalia Echeverri -- Incremental housing: the dynamic of dwelling change / Luke Perry -- Symbiotic venues: the legacy and utility of Olympic construction / Asa Prentice. This event took place at the University of California, Berkeley on February 4, 2009. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1414"">DVD X1414Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2008]Branner Fellowship Award, 2008","Urban armature and the induction of space / Andrew Ballard -- The act of route: reading + recording world cities in motion / Yukiko Bowman -- The watery edge: urban rivers on contested territories / Ivan Valin. Introduction: Keith Plymale. Lectures presented by the 2008 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. This event took place at the University of California, Berkeley on February 20, 2008. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9679"">DVD 9679Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2007]Branner Fellowship Award, 2007","Measure and trace: re-making industrial space / Marie Sorensen -- Architecture of dialogue: experiments in urban interaction / Lucy Begg. Lectures presented by the 2007 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. This event took place at the University of California, Berkeley on February 7, 2007. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7874"">DVD 7874Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2006]Presentations by Branner Fellowship Recipients","Geography of the neighborhood / Jeffrey Carney -- RE-Habitation: Interpretation of growth / Kristi M. Dykema -- Over our heads / Laura K. Mezoff -- The active wall: architecture as interface / Beau Trincia. Lectures presented by the 2006 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. This event took place at the University of California, Berkeley on February 15, 2006. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5937"">DVD 5937Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2005]Presentations by Branner Fellowship Recipients","Translations: indigenous material textures from landscapes to buildings / Jeannie Aquilino -- Impermanent architecture : the ephemeral quality of urban space / Aaron Brumo -- Sensing space: representation and merging sensory fields / Susanna Douglas -- Defining permanence: the structure of places, spaces and buildings that last / Corey Griffin -- Custom: cad/cam + craft traditions / Cy Keener -- Cuts in the fabric: imposition or integration of superstructures in urban locales / Myrto Miliou. Lectures presented by the 2005 John K. Branner Prize recipients from the University of California, Berkeley's College of Environmental Design. The Branner Prize is awarded annually for research and travel to outstanding qualified students of architecture. This event took place at the University of California, Berkeley on March 9, 2005. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM638"">Video/C MM638Ж","UC Berkeley
College of Environmental Design Lectures"
"[Branner Fellowship Recipients, 2004]Branner Presentations.","Shows presentations by the three winners of the John K. Branner Travelling Fellowship. The applicants were judged by three criteria: academic achievements, demonstrable design abilities and potential for growth and learning from travel. This event took place at the University of California, Berkeley on February 25, 2004. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM327"">Video/C MM327Ж","UC Berkeley
College of Environmental Design Lectures"
"[Bremner, Lindsay] Johannesburg: One City, Colliding Worlds","Introduction: Stanley Saitowitz. In this lecture, Lindsay Bremner, Chair of Architecture at the University of the Witwaterstrand, South Africa, comments on her recent book which examines the rapid social transformations taking place in Johannesburg, by exploring the new identities and bonds forming in the midst of spatial enclosures in the city. This event took place at the University of California, Berkeley on February 9, 2005. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM633"">Video/C MM633Ж","UC Berkeley
College of Environmental Design Lectures"
"[Bruder, William P.]William P. Bruder","A lecture by Arizona architect William P. Bruder. Since the founding of his firm in 1974, he had designed more than 300 projects mostly residential, with the philosophy that describes architecture as ""functional fine art based on site and user needs."" His use of natural materials combined with concrete block and sheet metal and his careful siting of structures with relation to the sun exhibit organic architecture in the desert environment. This event took place at the University of California, Berkeley in 1999. 111 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8619"">Video/C 8619Ж","UC Berkeley
College of Environmental Design Lectures"
"[Bucci, Angelo]Recent Work by SPBR, Sao Paulo, Brazil.","A presentation by Angelo Bucci showing some of the most recent architectural creations of the Sao Paulo Brazil firm SPBR Architects established in 2003 as a partnership between architects Angelo Bucci and Alvaro Puntoni. This event took place at the University of California, Berkeley on April 27, 2005. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM675"">Video/C MM675Ж","UC Berkeley
College of Environmental Design Lectures"
"[Burnham, Douglas and Steely, Craig] Local Practice.","A speech by Douglas Burnham of Envelope A+D, a collaborative design group in Oakland and Craig Steely of Steely Architecture based in San Francisco. Introduction: Roddy Creedon. This event took place at the University of California, Berkeley on November 10, 2004. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM742"">Video/C MM742Ж","UC Berkeley
College of Environmental Design Lectures"
"[Byrd, Warren T.] Cienegaic and Serotinous: The Recent Work of NBWLA","This lecture is presented by Warren Byrd, principal of the Nelson-Byrd-Woltz Landscape Architects, based in Charlottesville, Virginia. Byrd's areas of expertise include sustainable landscape design, site planning, park planning, town planning, arboreta and botanic garden design, and specific knowledge of the landscape character and plant/ecological communities of the East Coast, especially in the mid-Atlantic region.This event took place at the University of California, Berkeley on April 7, 2010. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5966"">DVD X5966Ж","UC Berkeley
College of Environmental Design Lectures"
"[Carpenter, James]Constructing the Ephemeral","This lecture is presented by James Carpenter, an artist and sculptor whose work focuses on developing new glass and material technologies. His interest in architecture has evolved into a unique design practice that ranges from technical glass and materials consulting to designing curtain walls, roofing systems, bridges, and sculptures. This event took place at the University of California, Berkeley on March 4, 2009. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1418"">DVD X1418Ж","UC Berkeley
College of Environmental Design Lectures"
"[Careri, Francesco and Romito, Lorenzo]Osservatorio Nomade: Walking Process and the Beyond-city","A lecture presented by Francesco Careri and Lorenzo Romito, architects at the Stalker Lab in Rome that specializes in design issues and uses of public urban spaces. This event took place at the University of California, Berkeley on April 18, 2007. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7885"">DVD 7885Ж","UC Berkeley
College of Environmental Design Lectures"
"[Cassell, Stephen] Research in Practice","A lecture by Stephen Cassell, co-founder of the Architecture Research Office (ARO) in New York, who addresses how research informs their projects. Each architectural project begins with an assessment of its physical, social and economic dynamics and includes close collaboration with an involved client. Recent projects include a War Remembrance Memorial at Columbia University, the Prada Store in Soho, a U.S. Armed Forces Recruiting Station in Times Square and a flagship store for Shiseido in New York City. This event took place at the University of California, Berkeley on February 14, 2002. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8811"">Video/C 8811Ж","UC Berkeley
College of Environmental Design Lectures"
"[Castro, Pablo] Incomplete Works Momentos & Lacunae.","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Argentine architect Pablo Castro, of the firm OBRA Architects. This event took place at the University of California, Berkeley on November 26, 2006. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7231"">DVD 7231Ж","UC Berkeley
College of Environmental Design Lectures"
"[CED Visiting Professor Lectures, 2007]CED Visiting Professor Lectures, 2007","The Tennessee Valley authority: design and persuasion / Tim Culvahouse (Friedman visiting professor) -- Territorial tactics / Jeannette Kuo (Maybeck fellow) Lectures presented by Friedman visiting professor Tim Culvahouse and Maybeck visiting fellow, Jeannette Kuo. This event took place at the University of California, Berkeley on February 21, 2007. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7875"">DVD 7875Ж","UC Berkeley
College of Environmental Design Lectures"
