"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"Burnt By the Sun (Utomlyonnye Solntsem) (1994)","Directed by Nikita Mikhalkov. In the Soviet Union of 1936 revolutionary hero, Colonel Kotov, is spending an idyllic summer in his dacha with his wife and their 6 year old daughter. They are surprised by the arrival of the charming Mitia, who exploits his status as an old family friend to carry out a dark mission. Kotov's confidence in himself and his country are at first unshakable; he is unable to comprehend that his peaceful family idyll is about to be destroyed by the brutality of the Stalinist regime. 134 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5513"">DVD 5513Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Utomlyonnye+solntsem+(1994)"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Academy Award - Best Foreign Language Film
â€¢149;Cannes Film Festival - Grand Prize of the Jury

","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#burnt"">See separate bibliography of reviews and articles about this filmЖ


See also:
â€¢149;Flannery, Peter. Burnt by the sun / Peter Flannery ; after the screenplay by Nikita Mikhalkov and Rustam Ibragimbekov. England : Nick Hern Books, 2009 (Main (Gardner) Stacks PR6056.L28 B87 2009)


"
"The Cameraman's Revenge and Other Fantastic Tales: the Amazing Puppet Animation of Ladislaw Starewicz (1912-1958)","Six animated works produced by Starewicz in Moscow and Paris between the years 1912 and 1958. As the world's first great puppet and stop-motion model animator, Starewicz was best known for his insect stories. Starewicz's grasshoppers, dogs, frogs, dolls, and other creatures portray heroics and follies with an exuberance of humor and invention. Contents: The Cameraman's Revenge (1912, 13 min.) -- The Insects' Christmas (1913, 7 min.) -- Frogland: The Frogs Who Wanted a King (1922, 9 min.) -- Voice of the Nightingale (1923, 13 min.) -- The Mascot (1933, 26 min.) -- Winter Carousel (1958, 12 min.). 80 min. total ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1934"">DVD 1934Ж"
"Chapayev (1934)","Directed by Sergei Vassiliev and Georgy Vassiliev. After the revolution, an illiterate Russian who served in the Czar's army forms his own force to fight the White Russians. A stirring account of a beloved hero of the Russian Revolution and Stalin's favorite propaganda film. Based on documents by D.A. Furmanov and A.N. Furmanova. 94 min.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1024"">DVD X1024Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1604"">vhs 999:1604Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Chapayev+(1934)"">Credits and other information from the Internet Movie DatabaseЖ"
"Cargo 200 (Gruz 200) (2007)","Director, Aleksey Balabanov. Cast: Alexey Serebryakov, Leonid Gromov, Yuri Stepanov, Agniya Kuznestsova, Alexey Poluyan. In 1984, in provincial Russia, the daughter of a communist party regional secretary is kidnapped and abused by a police officer. Meanwhile there is a brutal murder nearby, and military corpses return from Afghanistan. Based on actual events, an unflinching portrait of the decline of the Soviet era. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8308"">DVD 8308Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0847880/"">Credits and other information from the Internet Movie DatabaseЖ"
"Chekhovian Motifs (Chekhovskie motivy) (2002)","Director, Kira Muratova. Cast: Sergei Bekhterev, Nina Ruslanova, Natalya Buzko, Filipp Panov. In this comic Ukrainian film a groom is horrified to see his former mistress, who recently committed suicide, attending his wedding. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8308"">DVD 8308Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0321641/"">Credits and other information from the Internet Movie DatabaseЖ"
"The Childhood of Maxim Gorky (Detstvo Gorkogo) (1938)","Director, Mark Donski. Cast: Alexei Lyarsky, Varvara Massalitinova, Mikhail Troyansky, J. Alexeyeva. The Childhood of Maxim Gorky (Detstvo Gorkovo) was the first of Russian director Mark Donski's trilogy based upon Gorky's memoirs. Alexei Lyarsky plays the young Maxim, who grows up under the czarist regime with his grandparents as guardians. Continually demeaned by his martinet grandfather, Maxim is drawn to his warm-hearted grandmother, who instills in him the willingness to pursue his writing muse. Gorky's (and Donski's) deep abiding love for Russia is conveyed through the film's remarkably romanticist landscape shots along the Volga River. Includes the silent short ""Moscow clad in snow"" (5 min.), featuring documentary scenes of Moscow from 1909, filmed for Pathe Frères. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7620"">DVD 7620Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0030055/"">Credits and other information from the Internet Movie DatabaseЖ"
"Circus (1936)","Director, Grigori Alexandrov. Russian film producer Grigori Alexandrov's attempt at importing American musical comedy into Soviet film. An American circus star is on tour in Moscow with her German manager. There she falls in love with a Soviet engineer, but her manager blackmails her with her dark spot in her life, she has a black baby. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3252"">vhs 999:3252Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0028420"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=e33183cd-13f3-4381-86a0-0e52889dc910"">View this video onlineЖ

Reviews and articles:
â€¢149;Liebman, Stuart ""Once Upon a Time in the Soviet Union."" Cineaste 1998, Vol. 24 Issue 1, p76-80
â€¢149;Salys, Rimgaila. ""Art Deco Aesthetics in Grigorii Aleksandrov's 'The Circus'."" Russian Review 2007 66(1): 23-35 13p.
Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=H800010081.01&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Close to Eden (Urga) (1991)","Directed by Nikita Mikhalkov. In this cross-cultural comedy, Gombo, a Mongolian shepherd, and Sergei, a Russian road builder, strike up a friendship and go on the road together, headed for the city. Intending to buy a TV and condoms because he already has 2 children (the limit set by the Chinese governement), Gombo is on his way to becoming a modern man. But present-day ways may not be so alluring after all. 109 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2260"">vhs 999:2260Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0103176"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Graffy, Julian. ""Urga."" The Slavonic and East European Review, Vol. 72, No. 1 (Jan., 1994), pp. 189-191 Ѭ href=""http://www.jstor.org/stable/4211468"">Full-text of this article / review is available:UC users onlyЖ




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"Cold Summer of 1953 (Kholodnoe leto piatdesiat tretego) (1988)","Director, Alexander Proshkin. Among the many criminals freed from the Soviet gulags in 1953 are two political prisoners, the middle-aged Kopalych and the young Luzga. While waiting for the arrival of a boat in a small village, they help defend its inhabitants from the hardened criminals convicted for grave offences and also recently released. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2353"">DVD 2353Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0095441/"">Credits and other information from the Internet Movie DatabaseЖ"
"The Color of Pomegranates (Nran guyne) (Soviet Union, 1969)","Directed by Sergei Paradzhanov. Cast: Sofiko Chiaureli, M. Aleksanian, V. Galstian. Stylized biographical drama of the life of noted eighteenth century Armenian poet and troubadour Sayat Nova. Based on his writings, the film, which depicts the poet's life in eight sections from childhood to death, is rich with symbols of sacred and secular Armenian life. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6262"">DVD 6262Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0063555/"">Credits and other information from the Internet Movie DatabaseЖ"
