"Source:","http://www.lib.berkeley.edu/MRC/FSM.html"
"
The Free Speech Movement


"
"â€¢149; Sound Recordings: See separate listings for:
"Free Speech Movement News Footage and Outtakes. Part 1","Television news films and clips of the 1964 Free Speech Movement at the University of California, Berkeley. Includes various scenes in Sproul Plaza, Free Speech Movement tables and rallies; the special convocation at the Greek Theater on Dec. 7; Clark Kerr, Robert Scalapini, Marion Savio speaking, the Sproul Hall sit-in of Dec. 2-4 and arrests and arraignment of students; news footage of Clark Kerr speaking on the Free Speech Movement, university policy, and community reaction. Concludes with various interviews with Mario Savio and Joan Baez singing to the crowds. Filmed in November and December, 1964. ABC News. Filmed in November and December, 1964. 34 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5746"">Video/C 5746Ж","The Free Speech Movement"
"Free Speech Movement News Footage and Outtakes. Part 2","Television news films and clips of the 1964 Free Speech Movement at the University of California, Berkeley. Includes interviews with Mario Savio after his release from Santa Rita prison, Dec. 3, 1964; scenes of general student strike, Dec. 1964; Mario Savio and Clark Kerr at the Greek Theater convocation, Dec. 7, 1964. Filmed in November and December, 1964. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5747"">Video/C 5747Ж","The Free Speech Movement"
"Free Speech Movement News Footage and Outtakes. Part 3","Television news films and clips of the 1964 Free Speech Movement at the University of California, Berkeley. Includes miscellaneous shots of demonstrations, the Sproul Hall sit-in, Dec. 2-4, 1964; Joan Baez singing on the steps of Sproul Hall and interviewed inside Sproul Hall; brief interview with Prof. Richard Dudley regarding faculty support of the Free Speech Movement; scenes of student arrests, booking, and removal from Sproul Hall, Dec. 3-4; a brief interview with strike participant, Mike Smith and other participants. ABC News. Filmed in November and December, 1964. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5748"">Video/C 5748Ж","The Free Speech Movement"
"Free Speech Movement News Footage and Outtakes. Part 4","Television news films and clips of the 1964 Free Speech Movement at the University of California, Berkeley. Includes scenes of student arrests, removal and booking in Sproul Hall sit-in, Dec. 2-4; UCB Lieutenant of Police, Merrill Chandler announcing illegal assembly in Sproul Hall; brief interviews with anti-Free Speech Movement students; interviews with Art Goldberg and Mike Smith concerning student arrests and detention in Santa Rita Prison; an interview with Mario Savio after his release from prison; Assemblyman William Stanton addressing students and a brief interview with Prof. Norman Jacobson about the student strike and cancellation of classes. ABC News. Filmed in November and December, 1964. 33 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5748"">Video/C 5748Ж","The Free Speech Movement"
"Free of Speech Movement. (2000)","A brief chronology using newsreel films of the Free Speech Movement at the University of California, Berkeley in the 1960s. Featuring Jackie Goldberg, Mario Savio, Edward Strong, Art Goldberg, Brian Turner, Clark Kerr, Ronald Reagan, Jack Weinberg. 5 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6839"">Video/C 6839Ж","The Free Speech Movement"
"Free Speech Movement Reunion 1994: An Interview with Mario Savio and Michael Rossman","A candid dialogue between Mario Savio and Michael Rossman, American political activists and a key members in the Berkeley Free Speech Movement on the 30th anniversary of the event. Taped at the University of California, Berkeley during the Free Speech Movement 30th Anniversary Celebration & Reunion, December 1-4, 1994.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1357"">DVD X1357Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1234"">Video/C MM1234Ж","The Free Speech Movement"
"Free Speech Movement Reunion 1994: An Interview with Mario Savio and Michael Rossman","A candid dialogue between Mario Savio and Michael Rossman, American political activists and a key members in the Berkeley Free Speech Movement on the 30th anniversary of the event. Taped at the University of California, Berkeley during the Free Speech Movement 30th Anniversary Celebration & Reunion, December 1-4, 1994.   (Edited, shorter version: )","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1357"">DVD X1357Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1234"">Video/C MM1234Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1358"">DVD X1358Ж","The Free Speech Movement"
"Let Freedom Speak: Mario Savio and the Berkeley Rebellion","With emphasis on the leadership role of Mario Savio, presents a historical overview of the student Free Speech Movement at the University of California, Berkeley in the early 1960s. Includes archival footage and commentary by archivists and participants in the movement. Produced as an entrant in the History Day Competition, 2009 by students from Francis Parker School. Produced by Hannah Ostrow and Alex Trimm. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1758"">DVD X1758Ж","The Free Speech Movement"
"Making Sense of the Sixties. 6 parts, 58 min. each. Video/C 1953","â€¢149; Part 1, Seeds of the Sixties Focuses on one of the most important seeds of rebellion: institutionalized prejudice that kept American blacks in subservience and poverty, preventing their children from receiving the education that could help them gain equality. It also shows how television brought home this fact to Northern whites.","â€¢149; Part 2, We Can Change the World. Chronicles the years 1960-1964, when the civil rights movement and John F. Kennedy inspired idealism in college students. The program explores the impact of the Cuban missile crisis, the assasination of John F. Kennedy, and the 1963 March on Washington.","â€¢149; Part 3, Breaking Boundaries, testing limits. Depicts the sixties' youth rebellion and the counterculture, when millions of young people brushed aside every social rule they had learned and substituted tenets of their own. Chronicles the media's role in the development and impact of the youth rebellion and society's response to it.","Full-text review from:","The Free Speech Movement"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/SenseSixties.html"">ABC-CLIO Video Rating Guide for LibrariesЖ","The Free Speech Movement"
