"Source:","http://www.lib.berkeley.edu/MRC/homelessnessmovies.html"
"
The Homeless, Hobos, Tramps, and Bums in the Movies


","See also:"
"The Dreamlife of Angels (La Vie rêvée des anges) (France, 1998)","Directed by Erick Zonca. Cast: Elodie Bouchez, Natacha Regnier, Gregoire Colin. Optimistic hobo Isa, with her life in her backpack, has a gritty existence on the road, going from one town to another through northern France, working factory jobs and selling cards. After she loses a garment-factory job, her coworker Marie lets Isa share space in her Lille living quarters, an apartment belonging to a hospitalized mother and daughter. Isa goes through two tempestous relationships, while becoming fascinated with the girl who lived in the apartment but now lies in a coma at the hospital. 113 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+180"">DVD 180Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0120449/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Best Actress (Élodie Bouchez and Natacha Régnier)
â€¢149;César Awards, France - Best Film; Best Actress (Élodie Bouchez; Most Promising Actress (Natacha Régnier)



Reviews and articles:

â€¢149;Hardwick, Joe. ""Fallen angels and flawed saviours: marginality and exclusion in La Vie de Jésus and La Vie rêvée des anges."" Studies in French Cinema; 2007, Vol. 7 Issue 3, p219-230, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=26989724&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Harris, Sue. ""Dispossession and Exclusion in La Vie rêvée des anges."" In: Possessions : essays in French literature, cinema, and theory / Julia Horn & Lynsey Russell-Watts (eds.). Oxford ; New York : P. Lang, 2003. (Main Stack PQ31.C36 2001)
â€¢149;Orr, Christopher. """"A Working Class Hero(ine) Is Something to Be"": Affliction, The Dreamlife of Angels, and the Naturalist Tradition."" Film Criticism. Fall 2002. Vol. 27, Iss. 1; p. 36 (15 pages) Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00198903"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Smith, Gavin. ""The Dreamlife of Angels."" Sight and Sound. Nov 1998. Vol. 8, Iss. 11; p. 64 (2 pages)
â€¢149;Turek, Sheila. ""Representations of Women in Subtitled Films: L’Auberge espagnole and La Vie rêvée des anges"" French Cultural Studies, May2011, Vol. 22 Issue 2, p95-109, 15p Ѭ href=""http://frc.sagepub.com/content/22/2/95"">Full-text of this article / review is available:UC users onlyЖ


","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Emperor of the North (1991)","Directed by Robert Aldrich. Cast: Lee Marvin, Ernest Borgnine, Keith Carradine, Charles Tyner, Malcolm Atterbury, Harry Caesar, Simon Oakland. A legendary depression-era hobo and his young accomplice battle a sadistic railroad worker in a determined bid to hitch a ride. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1765"">DVD X1765Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0070030/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"The Fisher King(1991)","Directed by Terry Gilliam. Cast: Robin Williams, Jeff Bridges, Amanda Plummer, Mercedes Ruehl, Michael Jeter. A shock radio deejay who finds himself penniless is plucked from disaster by a homeless history professor, who lives in a fantasy world full of castles, Red Knights and damsels in distress. Together they begin a modern quest for redemption and the Holy Grail. 138 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+989"">DVD 989Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0101889"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Academy Award - Best Supporting Actress (Mercedes Ruehl)
â€¢149;Academy of Science Fiction, Fantasy & Horror Films, USA - Best Supporting Actress (Mercedes Ruehl)
â€¢149;Golden Globes - Best Performance by an Actor in a Motion Picture - Comedy/Musical (Robin Williams); Best Performance by an Actress in a Supporting Role in a Motion Picture (Mercedes Ruehl)
â€¢149;Los Angeles Film Critics Association Awards - Best Actress (Mercedes Ruehl)
â€¢149;Venice Film Festival - Silver Lion


","Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#fisherking"">See separate bibliography of reviews and articles about this filmЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"God Bless the Child (TV, 1988)","Directed by Larry Elikann. Cast: Mare Winningham, Grace Johnston, Dorian Harewood. When Theresa Johnson is abandoned by her husband and forced to live on the streets with her daughter Hillary, she struggles to survive in filthy shelters and in constant fear. But the struggle becomes too great when Hillary's life is threatened and Theresa realizes she can no longer care for her daughter. Faced with the most devastating choice, Theresa must put her daughter before herself--at any cost. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4182"">DVD X4182Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0095227/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Great McGinty (1940)","Directed by Preston Sturges. Cast: Brian Donlevy, Muriel Angelus, Akim Tamiroff. In this comedy Dan McGinty is a hungry hobo who wows the ballot-stuffers by voting 37 times in an election for mayor. He immediately becomes the protege of a political boss. The boss guides and schemes McGinty to alderman, mayor and ultimately governor. McGinty flees the country and winds up as a bartender in a seedy Central American dive where the tale has a gleeful surprise ending. 82 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6582"">DVD 6582Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:810"">vhs 999:810Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0032554/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sturges.html"">See separate bibliography of reviews and articles about this filmЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Hallelujah, I'm a Bum (1933)","Directed by Lewis Milestone. Cast: Al Jolson, Madge Evans, Frank Morgan. Songs and musical dialogue by Richard Rodgers and Lorenz Hart. For Bumper, life is just a bowl of cherries. Living in New York City's Central Park, the happy-go-lucky hobo king spends his time singing and enjoying himself without a care in the world. But when he rescues a beautiful amnesiac from a park lake, his cares suddenly increase. Not only has he fallen in love with the pretty blonde, but he has also discovered she's the missing sweetheart of Bumper's good buddy, the Mayor of New York. Can a whimsical tramp compete with his playboy pal for the heart of their lady fair? 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1766"">DVD 1766Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0024083"">Credits and other information from the Internet Movie DatabaseЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"The Hero (O Heroi) (Angola, 2004)","Directed by Zeze Gamboa. Cast: Oumar Makena Diop, Milton Coelho, Maria Ceica, Neuza Borges, Patrcia Bull, Ral Rosario. Luanda, capital of Angola, is a huge city trying to cope with and overcome the profound legacy of a civil war that lasted for nearly 30 years. Vitorio has just been discharged after almost 20 years of fighting in the war. During his last military assignment he stepped on a land mine and lost a leg. After recuperating, he finds himself alone, unemployed and homeless. He, along with the people that he encounters, attempt to build new lives at the same time as their country reconstructs in the postwar era. In Portuguese with English subtitles. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5305"">DVD 5305Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0424142/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Heroes for Sale (1933)","Directed by William A. Wellman. Cast: Richard Barthelmess, Aline MacMahon, Loretta Young, Gordon Westcott, Robert Barrat. ""What isn't Heroes for Sale about? Within its 71-minute time frame, this film (co-written by ""professional cynic"" Wilson Mizner) tackles such issues as disenfranchised war veterans, misguided hero worship, drug addiction, the Depression, capitalism, labor relations and communism. Richard Barthelmess plays a wounded war hero whose hospital stay has turned him into a morphine junkie. He wanders from town to town looking for work during the Depression, only to be turned away with a ""we've got our own to watch out for!"" Eventually, Barthelmess befriends millionaire-in-the-making Robert H. Barrat, who has invented a revolutionary washing machine. Becoming Barrat's partner, Barthelmess attempts to quell a strike by workers who've been stirred up by Red agitators. With all this going on, Barthelmess still finds time to romance Loretta Young. Heroes for Sale is very much a product of its time, though its entertainment value has remained solid for well over six decades."" [Ѭ href=""http://www.allmovie.com/cg/avg.dll?p=avg&sql=1:22264"">allmoviesЖ.com] 71 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1427"">DVD X1427Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3311"">vhs 999:3311Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0024115/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/wellmanbib.html"">William Wellman bibliographyЖ


","The Homeless, Hobos, Tramps, and Bums in the Movies"
"The Hobo (1917)","Director, Arvid E. Gillstrom. Cast: Billy West (The hobo); Oliver Hardy (Harold). A tramp who has been hiding underneath a railroad car wakes up while the train is stopped, and follows a pretty girl into the train station. When he flirts with her, the girl's boyfriend becomes angry and provokes a series of confrontations with the tramp. When things calm down, the tramp winds up working at the station's lunch counter, where he soon runs into some new predicaments. 20:47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X428"">DVD X428Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0248867/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Hobo Gadget Band (1939)","Animated short. Directed by Cal Dalton and Ben Hardaway. At the hobo hotel, it's morning. One hobo awakens, and carefully avoids the shower, except for a drop on each eye. He stops at the medicine cabinet for some ""soda fizz"" which jets about, causing havoc. A train goes by, and the swinging rhythm inspires a makeshift clarinet solo. The cook grabs some fish from the fridge, which opens right onto the river. Another train whistle prompts an announcer; the hobos board down a slide. The clarinet player starts up again, and everyone dances. The engineer notices, stops the train, and pulls the ""hobo eliminator"" lever, which ejects them. Fortunately, they land right in front of a sign looking for amateur musicians at a radio station. They play and sing, to everyone's enjoyment. The station owner offers them luxury but a passing train whistle changes their minds. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8516"">DVD 8516Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Hobo Hero(1935)","Animated short. Directed by Les Elton ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5528"">DVD 5528Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
