"Source:","http://www.lib.berkeley.edu/MRC/religiousfilms.html"
"
Religious Themes in the Movies & Television


Ж
"The Cardinal (1963)","Directed by Otto Preminger. Cast: Tom Tryon, John Huston, Romy Schneider, Carol Lynley, Jill Haworth, Raf Vallone, John Saxon, Josef Meinrad, Burgess Meredith, Ossie Davis, Dorothy Gish. Sweeping and powerful epic about a man torn between doubt and faith, between human and spiritual values. Follows an Irish American Catholic priest across two continents and through several turbulent decades. His rise to the upper echelons of the Church hierarchy parallels and is propelled by the social upheaval of the times. 175 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X833"">DVD X833Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0056907/"">Credits and other information from the Internet Movie DatabaseЖ

","Religious Themes in the Movies & Television"
"Ceddo (Senegal, 1978)","Directed by Sembene Ousmane. A religious conflict characterizes this drama set in late 19th century Senegal when the local king becomes a Muslim and decides to break up the small Catholic congregation in the village of the Ceddo. The people revolt against the change and kidnap a princess. Eventually the kidnappers are killed and the princess is brought back to the village to confront the Imam, as all the villagers are being given Muslim names. This film was banned in Senegal because the government disagreed with the director's spelling of the word ""Ceddo,"" which they insisted should be spelled with one ""d."" In Wolof and French with English subtitles. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3113"">vhs 999:3113Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0077309"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanBib.html#ceddo"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"Chac: The Rain God (Chac: Dios de la lluvia) (Mexico / Panama, 1974)","Directed by Rolando Klein. Based on ritual and legends from the Popul Vuh and Mayan stories, the film focuses on a small Tzeltal village during a terrible drought. Desperate for relief, thirteen men set out on a quest to save their people by seeking a solitary diviner who lives in the mountains and knows the ways of the ancients. Hoping that he can summon Chac, the Rain God the men follow the diviner who takes them on a strange journey that challenges their beliefs and even their sanity. 95 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5019"">DVD X5019Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2957"">vhs 999:2957Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0251629"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"The Crime of Padre Amaro (El crimen del Padre Amaro) (Mexico / Spain / Argentina / France, 2002)","Directed by Carlos Carrera. Cast: Gael Garcia Bernal, Ana Claudia Talancon, Sancho Gracia, Angelica Aragon, Luisa Huertas, Pedro Armendariz, Ernesto Gomez Cruz, Gaston Melo, Damian Alcazar. A recently ordained priest is sent to a small parish church in rural Mexico to help an aging priest. Upon arriving at his new post, he meets a beautiful young woman with a religious passion that borders on obsession. Quickly her passion for her faith becomes entangled in a growing attraction to the new priest. When the priest crosses the line that seperates temptation from sin, he finds himself torn between the devine and the carnal, the righteous and the unjust. 119 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2297"">DVD 2297Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0313196/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"The Da Vinci Code (2006)","Directed by Ron Howard. Cast: Tom Hanks, Audrey Tautou, Ian McKellen, Alfred Molina, Jurgen Prochnow, Jean Reno, Paul Bettany, Jean-Yves Berteloot, Etienne Chicot, Jean-Pierre Marielle, Marie-Francoise Audollent. When respected American religious symbology expert Dr. Robert Langdon is summoned to the Louvre by French Captain Bezu Fache, he soon discovered that he is the number 1 suspect for the murder of a historian Langdon had been scheduled to meet with. Assisted by a French cryptographer and government agent named Sophie, Langdon is challenged to decipher a chain of cryptic codes and puzzles, all the while trying to stay ahead of Fache's lawmen in a chase through the Louvre, and out into the Parisian cityscape, and finally across the channel to England. Special features (Disc 2): ""First day on the set with Ron Howard"" featurette; ""A discussion with Dan Brown"" featurette; ""A portrait of Langdon"" featurette; ""Who is Sophie Neveu?"" featurette; ""Unusual suspects"" featurette; ""Magical places"" featurette; ""Filmmaker's journey"" a two-part featurette; ""Close-up on the Mona Lisa"" featurette; ""The codes of 'The Da Vinci code'"" featurette; ""The music of 'The Da Vinci code' featurette. Based on the novel by Dan Brown. 149 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6872"">DVD 6872Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0382625/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/religionbib.html#davinci"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"Death of Christ (Pathe, France? 189?)","
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3530"">vhs 999:3530Ж","Religious Themes in the Movies & Television"
"Dekalog (directed by Krzysztof Kieslowski - based on the Ten Commandments) see Ѭ href=""http://www.lib.berkeley.edu/MRC/Sovietfilm.html"">Eastern European cinema videographyЖ","Demetrius and the GladiatorsЖ (1954)","Directed by Delmer Daves. Cast: Victor Mature, Susan Hayward, Michael Rennie, Debra Paget, Anne Bancroft, Jay Robinson. Set in Rome after the death of Christ. The mad emperor Caligula is obsessed with obtaining the robe of Christ which has been entrusted to Demetrius, a devout Christian who turns his back on God, enters the arena and becomes the most famous gladiator in Rome. Based on a character created in Lloyd C. Douglas in Ѭ href=""#robe"">The robeЖ. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4868"">DVD X4868Ж","â€¢149;Ѭ href=""%20http://us.imdb.com/Title?0046899"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"The Devils (UK, 1971)","Directed by Ken Russell. Cast: Vanessa Redgrave, Oliver Reed, Dudley Sutton, Max Adrian, Gemma Jones, Murray Melvin. This film centers on the staggering true-life dementia of events in France in 1643. Cardinal Richelieu and his power-hungry entourage seek to take control of seventeenth-century France, but need to destroy Father Grandier - the priest who runs the fortified town that prevents them from exerting total control. So they seek to destroy him by setting him up as a warlock in control of a devil-possessed nunnery, the mother superior of which is sexually obsessed by him. A mad witch-hunter is brought in to gather evidence against the priest, ready for the big trial. Based on the play: The devils by John Whiting, and the book: The devils of London by Aldous Huxley. Special features (70 min.): ""Hell on earth"" documentary, ""Year of censorship"", UK censors, James Ferman, trailers. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9759"">DVD 9759Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0066993/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#russell"">Ken Russell bibliographyЖ

","Religious Themes in the Movies & Television"
"Diary of a Country Priest (Le Journal d'un curâ€¢233; de campagne) (France, 1950)","Directed by Robert Bresson. Cast: Claude Laydu, Antoine Balpâ€¢234;trâ€¢233;, Gaston Sâ€¢233;verin, Lâ€¢233;on Arvel, Jean Danet, Andrâ€¢233; Guibert, Nicole Ladmiral, Jean Riveyre, Jeanne â€¢201;tiâ€¢233;vant, Bernard Hubrenne, Marie-Monique Arkell. A young country priest engenders hostility, indifference, and rejection among his parishioners. Stricken by cancer, he dies a lonely death. Based on the novel by Georges Bernanos. Special DVD features: Audio commentary by film historian Peter Cowie; original theatrical trailer; essay by film critic Frâ€¢233;dâ€¢233;ric Bonnaud. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2475"">DVD 2475Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0042619/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/frenchbib.html#priest"">See separate bibliography of reviews and articles about this filmЖ
","Religious Themes in the Movies & Television"
"Dogma (1999)","Directed by Kevin Smith. Cast: Ben Affleck, Matt Damon, Linda Fiorentino, Salma Hayek, Jason Lee, Jason Mewes, Alan Rickman, Chris Rock, George Carlin. Two banished angels find a loophole that would get them back into heaven. The only snag? They'll be destroying existence in the process. In an effort to stop them, the overworked voice of God taps cynical mortal Bethany to save the world by preventing the angels from reaching their unholy destination. Along the way he meets two unlikely prophets named Jay and Silent Bob, and the quick-witted thirteenth apostle. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+741"">DVD 741Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0120655"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Blake, Richard A. ""Fallen Angels."" America; 12/04/99, Vol. 181 Issue 18, p20, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=2554275&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Horton, Robert. ""Snoochie boochies: the gospel according to Kevin Smith."" Film Comment, November/December 1999, Vol. 35 Issue 6, p60-65, 6p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00132575"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Maher, Kevin. ""Dogma."" Sight & Sound, Jan2000, Vol. 10 Issue 1, p47-48, 2p
â€¢149;Romney, Jonathan. ""Apocalypse then."" New Statesman; 12/13/99, Vol. 128 Issue 4466, p47, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=2630643&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Religious Themes in the Movies & Television"
