"Source:","http://www.lib.berkeley.edu/MRC/dutchfilm.html"
"
Dutch Language Films


Ж
"Rare Dutch and Belgian Experimental Program","Presents five early documentary films produced in the Netherlands. The mystic lamb by Van Eyck / directed by Andre Cauvin ([1939?]) (ca. 9 min.) -- Rain / by Joris Ivens and Mannus Franken (1929) (ca. 12 min.) -- New earth / directed by Joris Ivens ([1941?]) (ca. 23 min.) -- The bridge / directed and photographed by Joris Ivens (1927-1928) (ca. 12 min.) -- De parapluie = The umbrella / productie en regie, Kees Brusse ([1961?]) (ca. 31 min.) 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7811"">Video/C 7811Ж","Dutch Language Films"
"Siberia (1998)","Directed by Robert Jan Westdijk. Cast: Hugo Metsers, Roeland Fernhout, Vlatka Simac, Nicole Eggert, Johnny Lion. Hugo and Goof have set up a scam picking up female tourists, sleeping with them, then robbing them and keeping a page from their passport for a souvenir. Their scam goes well until they meet Lara from Siberia, with whom Goof becomes obsessed. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3547"">DVD 3547Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0152432/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"Soldaat van Oranje (Soldier of Orange) (1977)","Directed by Paul Verhoeven. Cast: Rutger Hauer, Jeroen Krabbe, Edward Fox, Susan Penhaligon. Erik Hazelhoff is a spoiled young aristocrat who transforms himself into a daring leader in the Dutch resistance forces during World War II. 156 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6177"">DVD 6177Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0076734/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Scheers, Rob van. Paul Verhoeven Boston : Faber, 1997. (MAIN: PN1998.3.V46 S3413 1997)
â€¢149;Swinnen, Johan. ""Soldaat van Oranje/Soldier of Orange."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)
â€¢149;Telotte, J.P. ""Narratives of resistance: Verhoeven's Soldier of Orange."" Film Criticism 30.3 (Spring 2006): p3(14). (5607 words)

","Dutch Language Films"
"Spetters (1980)","Directed by Paul Verhoeven. Cast: Hans Van Tongeren, Renee Soutendijk, Toon Agterberg, Maarten Spanjer, Marianne Boyer, Jeroen Krabbe, Rutger Hauer. Set in 1970s Holland, this is the story of three young working-class men with a passion for motorcycle racing and for the same young woman. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8557"">DVD 8557Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0081547/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Spoorloos (The Vanishing) (1988)","Directed by George Sluizer. Cast: Bernard-Pierre Donnadieu, Gene Bervoets, Johanna Ter Steege. Thriller about a young man whose wife disappears when they are on their way to their vacation. He becomes obsessed with learning what happened to her, and the story tells of his obsessive search for answers, along with the the story of her abductor's obsession with testing the limits of his own conscience. 107 min. 999:2424","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0096163/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Jay, Steven. ""The Vanishing."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)
â€¢149;Sweeney, Kevin W. ""The Horrific in Sluizer's ""The Vanishing"" Post Script 21:3 (Summer 2002) p. 99-110Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00375649"">Full-text of this article / review is available:UC users onlyЖ

","Dutch Language Films"
"De Stilte rond Christine M. (A Question of Silence)(1983)","Director, Marleen Gorris. Cast: Edda Barends, Nelly Frijda, Cox Habbema, Henriette Tol. A female psychiatrist is appointed by a judge to evaluate three women who, strangers to each other, have each confessed to the murder of the same man. Their rage toward and hatred of their male-dominated society is gradually understood by the psychiatrist, who begins to question her own nature. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1829"">vhs 999:1829Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0086369/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Elsley, Judy. ""Laughter as Feminine Power in The Color Purple and A Question of Silence.'"" In: New perspectives on women and comedy / edited by Regina Barreca. Philadelphia : Gordon and Breach, c1992. (Main Stack PS430.N49 1992)
â€¢149;Ramanathan, Geetha. ""Murder as speech: narrative subjectivity in Marleen Gorris' 'A Question of Silence.'."" Genders n15 (Winter 1992 n15): 58(14).
â€¢149;Sklar, Robert. ""Marlene Gorris: The Lighter Side of Feminism."" In: The Cineaste interviews 2 : on the art and politics of the cinema / Gary Crowdus, Dan Georgakas. Chicago : Lake View Press, c2002. (Main Stack PN1998.2.C51 2002; PFA PN1998.2.C51 2002)
â€¢149;Smelik, Anneke. ""And the mirror cracked: metaphors of violence in the films of Marleen Gorris."" Women's Studies International Forum 16.n4 (July-August 1993): 349(15).
â€¢149;Udris, Jan. ""A Question of Silence."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)
â€¢149;Williams, Linda. ""A Jury of Their Peers: Marleen Gorris's A Question of Silence."" In: Multiple voices in feminist film criticism / Diane Carson, Linda Dittmar, and Janice R. Welsch, editors. Minneapolis : University of Minnesota Press, c1994. (Main Stack PN1995.9.W6.M82 1994; Moffitt PN1995.9.W6.M82 1994)

","Dutch Language Films"
"Turks Fruit (Turkish Delight) (1973)","Directed by Paul Verhoeven. Cast: Rutger Hauer, Monique van de Ven, Tonny Huurdeman, Wim van den Brink, Hans Boskamp, Dolf de Vries, Marjol Flore, Manfred de Graaf, Dick Scheffer, Bert Dijkstra. Erik Vonk is a carefree artist and ladies man until he meets Olga, a beautiful young woman with an equal passion for sexual adventure. They marry in a frenzy of erotic ecstasy, only to find that real life has other plans. When Olga is struck by a tragic illness, Erik must make a searing choice between a lust that cannot be tamed and a love that refuses to die. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6177"">DVD 6177Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0070842/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Mendik, Xavier. ""Turkish Delight."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)

","Dutch Language Films"
"De Vierde Man (4th Man; Fourth Man) (1983)","Directed by Paul Verhoeven. Cast: Jeroen Krabbe, Renee Soutendijk, Thom Hoffman, Dolf De Vries, Geert De Jong, Hans Veerman. An alcoholic novelist meets a widowed hairdresser. Then he begins to wonder if she murdered her former husbands and if he'll be her next victim. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6177"">DVD 6177Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0086543/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"De vlaschaard (The Flaxfield) (1943)","Director, Boleslaw Barlog. Cast: Paul Wegener, Paul Klinger, Bruni Lobel, Maria Koppenhofer, Ernst Waldow. A traditional Belgian father and his modern-thinking son battle it out in this family drama set in Belgium during the early 1900s. The conflict centers around the planting of flax. The son would rather play around with the milkmaid than farm. To instill his work ethic within the free-thinking lad, the father buys a neighboring farm. It doesn't work until the father lies upon his death bed. The loyal son comes around and begins to help. Languages and subtitles: Dutch and French. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7913"">DVD 7913Ж","Dutch Language Films"
"Voor een verloren soldaat (For a Lost Soldier) (1992)","Directed by Roeland Kerbosch. Cast: Maarten Smit, Andrew Kelley, Jeroen Krabbe. A dramatization of the true story of a young boy (Dutch ballet star Rudi van Dantzig) who is passionately attracted to his handsome Canadian liberator during World War II. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7346"">DVD 7346Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0108504/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Vroeger kon je lachen (One Could Laugh in Former Days) (1983)","Directed by Bert Haanstra. Cast: Carolien van den Berg, Martine Bijl, Kees Brusse, Simon Carmiggelt, Jacques Commandeur, Sylvia de Leur, Mary Dresselhuys, Rijk de Gooyer, Guus Hermus, Hetty Heyting, Elizabeth Hoytink, Kees van Kooten Simon Carmiggelt wrote a daily column called ""Kronkel"" (Dutch for ""twist,"" or ""coil"") for 30 years in the Netherlands that humorously and generously portrayed the human condition; this film is a cinematic version of his ""Kronkel"" columns. Each vignette in the film rests on its own natural dialogue as people reveal their thoughts and feelings. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2165"">DVD X2165Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0086562/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Wat zien ik? (Business is Business) (1971)","Directed by Paul Verhoeven. Cast: Ronnie Beirman, Sylvia De Leur, Piet Romer, Jules Hamel, Bernard Droog Henk Molenberg, Albert Mol. For hooker Blonde Greet, sexual fetish is a way of life and every deviant fantasy has its price. But when Blonde falls in love, she finds that business and pleasure can't mix without some unexpected complications. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6177"">DVD 6177Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0067963/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"Wild Romance (2006)","Directed by Jean van de Velde. Cast: Daniel Boissevain, Marcel Hensema, Karina Smulders, George Rossi, Andy Nyman. Profiles the start of the career of the rock musician Herman Brood, who lived his life filled with sex, drugs and rock 'n roll. Guided by his manager they aim to take over America with his music. In Dutch without subtitles. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7445"">DVD 7445Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0430592/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"De Zaak M.P. (The M.P. Case) (1960)","Directed by Bert Haanstra. Cast: Albert Mol, Ko van Dijk, Ingrid Valerius, Mieke Verstraete, Julia de Gruyter, Germaine Loosveldt, Ramses Shaffy, Julien Schoenaerts, Kees Brusse, Jaak Germain, Robert Maes, Marcel Cauwenberg, Robert Marcel, Paul Storm, Bernard Droog. A comedy about the struggle between the Netherlands and Belgium, told through a football match during which the Flemish cultural monument Manneken Pis is stolen. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2165"">DVD X2165Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0430592/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Zwartboek (Black Book) (Netherlands / Germany / Belgium, 2006)","Directed by Paul Verhoeven. Cast: Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn, Waldemar Kobus, Derek de Lint, Christian Berkel, Dolf de Vries, Peter Blok, Michiel Huisman. Rachel, a young Jewish girl hiding from the Nazi's during World War II in The Netherlands, sees her hiding place blown up. She escapes with her rescuer, a young sailor, but the boat sails into a trap set by the Germans. She escapes and joins the resistance, and under the false name Ellis de Vries she meets SS-hauptsturmfuhrer Ludwig Muntze on a train smuggling weapons. She goes to his headquarters to meet him again and gain his trust, and soon they fall in love. She joins his office as a spy, but when someone within the resistance betrays her, she is now seen as an enemy betraying both sides. All that's left to do is run with the man she learned to love and find a way to prove her innocence by finding the real betrayer. 146 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8526"">DVD 8526Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0389557/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Koehler, Robert. ""Vulgar Moralism."" Cinema Scope, Spring2007, Issue 30, p6-11, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=24523314&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Lee, Nathan. ""The Agony and the Ecstasy: Paul Verhoeven's Carnal Knowledge."" Film Comment; Mar/Apr2007, Vol. 43 Issue 2, p26-30, 5p, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=24345281&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Dutch Language Films"
"Ѭ href=""#top"">To the topЖ","","Dutch Language Films"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж","Dutch Language Films"
