"Source:","http://www.lib.berkeley.edu/MRC/frenchculture.html"
"
French History and CultureContents:
"
"â€¢149; Ѭ href=""#history"">French History and Culture:Ж

â€¢149; Ѭ href=""#arts"">Art, Architecture, Music, Dance, TheaterЖ
"[Bonnard, Pierre] Pierre Bonnard: In Search of Pure Colour (1984)","Examines the work of Bonnard through paintings gathered for a major retrospective at the Paris Centre Pompidou. Gives a fascinating glimpse of a seaside outing, the only existing record of the period just before his death. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1106"">Video/C 1106Ж","French History and Culture"
"[David, Jacques Louis] The Passing Show: David (Portrait of an Artist ;25)","Using a replica of David's studio, the ""newsreel"" technique, and a commentary derived from David's own speeches, this film provides a fascinating insight into the man who became, ironically, the virtual dictator of arts in his day. c1986. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1105"">Video/C 1105Ж","French History and Culture"
"[Degas, Edgar] Degas: The Unquiet Spirit. (Portrait of an Artist; 8)","Explores the life and work of a complex man and an unorthodox artist. Especially controversial was his treatment of women as subjects, shown as realpeople often engaged in unglamorous activities. Shows many of Degas' favorite locations--a ballet class, the racecourse, and the railway. c1980. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1093"">Video/C 1093Ж","French History and Culture"
"[Degas, Edgar] Edgar Degas. (Romantic Versus Classic Art)","Kenneth Clark discusses the classical paintings of French artist Edgar Degas. 1974. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+824"">Video/C 824Ж","French History and Culture"
"[Delacroix, Eugene] Eugene Delacroix. (Romantic Versus Classic Art)","Kenneth Clark discusses the underlying themes in the paintings of French artist Eugene Delacroix. 1974. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+822"">Video/C 822Ж","French History and Culture"
"[Delacroix, Eugene] The Restless Eye: Eugene Delacroix. (Portrait of an Artist;14 )","Uses Delacroix's journal and paintings to tell the story of his life and work. 1980. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1094"">Video/C 1094Ж","French History and Culture"
"A Fresh View Impressionism and Post-Impressionism (1989)","Features experts John House and Griselda Pollack. Part 1: Realism and Impressionism: Contrasts Courbet's treatment of subjects from everyday life with the innovations and techniques used by the impressionists. Part 2: Post-Impressionism: Examines the impressionists characteristic concern with color and changing light and contrasts this with the very individualistic visions of the postimpressionists. 60 min. (30 min. each part) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1681"">Video/C 1681Ж","French History and Culture"
"[Gogh, Vincent van] In a Brilliant Light: Van Gogh in Arles. (Portrait of an Artist)","A biographical film on Vincent van Gogh and his prolific production of 200 paintings and 100 drawings during the short period of 10 years when he was an artist, focusing on his life in Arles, France. 1984. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1110"">Video/C 1110Ж","French History and Culture"
"[Gogh, Vincent van] Lust for Life (1956)","Directed by Vincente Minelli. Cast: Kirk Douglas, Anthony Quinn, James Donald. A film adaptation on the life of the Dutch painter, Vincent Van Gogh. His paintings are shown throughout the film, as are the locations which inspired them in Holland, Belgium and France. 123 min. 999:3422","â€¢149;Ѭ href=""http://us.imdb.com/Title?0049456"">Credits and other information from the Internet Movie DatabaseЖ","French History and Culture"
"[Gogh, Vincent van] Vincent: The Life and Death of Vincent Van Gogh","This richly textured study of Vincent Van Gogh is a shattering journey through the life of a tortured genius who, spurned in his own time, became the single most influential artist of modern history. 1987. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4445"">DVD 4445Ж","French History and Culture"
"High Time (1994)","Part of a series exploring the origins and effects of inventions that shaped the modern world. Included is the development of impressionist paintings. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3326"">Video/C 3326Ж","French History and Culture"
"[Ingres, Jean Auguste Dominique] Slaves of Fashion: Ingres. (Portrait of an Artist; 22 )","Enhanced by contemporary musical extracts, this film demonstrates the diversity of Ingres' art and his reaction against the changes going on all around him. c1982. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1096"">Video/C 1096Ж","French History and Culture"
"[Manet, Edouard] Edouard Manet, Painter of Modern Life. (Portrait of an Artist)","Examines major paintings by Edouard Manet that influenced his contemporaries and changed the definition of later art. Explains the works in theartist's own words and in those of his friends, Zola, Baudelaire, Mallarme, and others. 1983. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1109"">Video/C 1109Ж","French History and Culture"
"[Manet, Edouard] The Shock of the Nude: Manet's Olympia (Culture Shock, 4)","Final segment in a four part series exploring why particular works of art became controversial. Part 4: Scandal surrounded the Paris 1865 exhibition of the painting, Olympia. Manet had dared to portray visual art's most universal subject, the nude, as an unidealized woman--a prostitute who stares directly at the viewer. He flouted the accepted ideas of beauty and propriety in art and outraged audiences. Although Olympia is now regarded at a masterpiece, visual artists continue to test society's conventions. c2000. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6911"">Video/C 6911Ж","French History and Culture"
"[Millet, Jean Francois] Jean Francois Millet. (Romantic Versus Classic Art)","Kenneth Clark discusses the paintings of French artist Jean Francois Millet. 1974. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+825"">Video/C 825Ж","French History and Culture"
"[Monet, Claude] Memories of Monet","Blends views of Claude Monet's gardens at Giverny, France, with his paintings, as Claire Bloom evokes the friendship between the French impressionist master and the American painter, Lilla Cabot Perry. Also includes works by James Whistler, John Singer Sargent, Mary Cassatt, Berthe Morisot and Camille Pissarro. 1984. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6575"">Video/C 6575Ж","French History and Culture"
