"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Boys Beware!","An ""educational"" film against exposure of young boys to homosexuals. Produced by Sid Davis. 1961. 10 min. ; also on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4845"">DVD 4845Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8569"">DVD 8569Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Boys Shorts: Six Short Films","Contents: Resonance -- R.S.V.P -- Anthem -- Relax -- Billy Turner's secret -- Dead boys club. Showcases six short films with gay themes produced in the 1990s. Resonance: an exploration of gay-bashing in the back streets of Sydney. RSVP: A powerful portrait of loss punctuated by the haunting voice of Jessye Norman. Anthem: A collage of erotic images that celebrates the lives of African American men. Relax: An elegant film about one man's fears regarding HIV testing. Billy Turner's Secret: An upbeat comedy about a young Black man coming out to his roommate. The Dead boys' club: A steamy tribute to the '70's world of promiscuity and disco balls from the perspective of gay life in the '90's. 1993?. 119 min. 
Reviews and articles:","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6226"">Video/C 6226Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149; Evans, Greg. ""Boys' Shorts: The New Queer Cinema."" (movie reviews) Variety v352, n1 (August 16, 1993):40 (1 page).","â€¢149; Holden, Stephen. ""Boys' Shorts: The New Queer Cinema."" (movie reviews) New York Times v142 (Wed, July 21, 1993):C17(L), col 1, 12 col in.","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Bright Eyes.","This production explores attitudes toward homosexuality in three parts: one, the early scientific view of homosexuality as a disease; two, the pre-World War II view (especially in Germany) of homosexuality as a crime; and three, current attitudes, complicated by the spread of AIDS. 1985?. Dist.: Ѭ href=""http://www.vdb.org/smackn.acgi$tapedetail?BRIGHTEYES"">Video Data BankЖ. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3286"">Video/C 3286Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149; Gever, Martha. ""Pictures of Sickness: Stuart Marshall's Bright Eyes."" In: Queer Looks: Perspectives on lesbian and Gay Film and Video / editors Martha Gever, Pratibha Parmar, John Greyson. pp: 186-203. New York: Routledge, 1993.(Main Stack PN1995.9.H55.Q4 1993; Moffitt PN1995.9.H55.Q4 1993)","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Came Out, It Rained, Went Back in Again.","This delightful short drama explores the perils of coming out as it follows a day in the life of one young girl who would be a lesbian. Director, Betsan Morris Evans. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3409"">Video/C 3409Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc233"">s/c233Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Campus Culture Wars: Five Stories About PC.","University of Pennsylvania: racially insensitive language, Harvard University: gay rights, Stanford University: multicultural ideals, Pennsylvania State: sexual harassment, University of Washington: radical feminism. c1993. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3328"">Video/C 3328Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Cancer in Two Voices.","This film provides a glimpse into the real lives of two lesbian women, Sandy and Barbara, especially into their coping with Barbara's breast cancer. Sandy and Barbara had almost three years together from the time Barbara's cancer was diagnosed until her death in 1988. The film is based on home videotapes made during that time. A film by Lucy Massie Phenix based on original videotapes by Ann Hershey. 1994. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4002"">Video/C 4002Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc134"">s/c134Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
