"Source:","http://www.lib.berkeley.edu/MRC/euroimmigrants.html"
"
The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US



"
"â€¢149;Ѭ href=""#immigrants"">Immigrants and Cultural Outsiders Within EuropeЖ","â€¢149;Ѭ href=""#gypsies"">Gypsies (Romanies, et al.)Ж","The Movies, Race, and Ethnicity:
"Bwana (Spain, 1988)","Directed by Imanol Uribe. A taxi driver and his family picnic on a lonely beach where they meet Ombasi, an African newly arrived in Spain in search of his fortune. They spend a pleasant night talking but the morning brings a terrible surprise: the arrival of a group of neonazis.Based on the theatrical work by Ignacio del Moral,""La Mirada del Hombre Sscuro."" PAL format. In Spanish without titles. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1788"">vhs 999:1788Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0115793/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Santaolalla, Isabel. ""The Representation of Ethnicity and 'Race' in Contemporary Spanish Cinema."" Cineaste. Winter 2003. Vol. 29, Iss. 1; p. 44 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=11871672&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"The Celtics Fans(2005)","Directed by Ken Loach. Three Scottish youths on their way to the football match of their dreams are forced to open their eyes and see the bigger picture when they meet an Albanian family. (Part of the three-film anthology, Tickets) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9989"">DVD 9989Ж","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"The Children of USSR (Children of the CCCP) (Israel, 2007)","Directed by Felix Gerchikov. Cast: Daniel Bruck, Igal Reznik, Arthur Marchenko, Vitaly Friedland. Israeli sport comes to life in the tale of an inspirational underdog soccer team. A mixed bag of Israeli immigrants, Russians, and one Ethiopian must pull together to win a $10,000 prize. But these small-town heroes face more than a ruthless opposing team. They have to find a way around thugs, mean-spirited council members, violent criminals, and a broken leg, and still get to school and practice on time. Will they hit their goal or hit the wall? 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5338"">DVD X5338Ж","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Circus Palestina (Zirkus Palestina) (Israel, 1998)","Directed by Eyal Halfon. Cast: Yoram Hatav, Evgenia Dudina, Amos Lavi, Basaam Zuamot, Vladimir Friedman. Comedy-drama about a Russian circus that disrupts a volatile community of irate Palestinians, high-strung Israeli settlers, and shifty hucksters on either side. At first, everyone wants to check out this new diversion; they become less enthusiastic when the troupe's aging lion escapes. Suddenly, this already tense neighborhood is thrown into a tizzy. Based on true events. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5441"">DVD X5441Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0163586/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Door to the Sky (Bab Al-Sama Maftuh) (Morocco, 1989)","Directed by Farida Belyazid. Cast: Zaki-yah Tahiri, Eva Saint Paul, Shuaybiyah Adhrawi, Bashir Sukayrij, Ahmad al-Buanani. Nadia, a young Moroccan émigré, returns from Paris to Fez to visit her dying father. At his funeral, she is moved by the voice of Karina chanting the Koran. A powerful friendship develops between the two women as Nadia decides to turn her father's place into a Muslim women's shelter. A Sufi tale told in a metaphoric lanaguage, A door to the sky was one of the first films from North Africa that addressed the social and economic changes as proposed by a spiritual Muslim woman on a quest to preserve her cultural and religious identity. 107 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6759"">DVD X6759Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2716"">vhs 999:2716Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0096868/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Entre les murs (The Class) (2008)","Directed by Laurent Cantet. Cast: François Bégaudeau, Nassim Amrabt, Laura Baquela, Juliette Demaille, Cherif Bounaïdja Rachedi. François and his fellow teachers prepare for a new year at a high school in a tough neighborhood. Armed with the best intentions, they brace themselves to not let discouragement stop them from trying to give the best education to their students. Cultures and attitudes often clash in the classroom, a microcosm of contemporary France. As amusing and inspiring as the teenaged students can be, their difficult behavior can still jeopardize any teacher's enthusiasm for the low-paying job. François insists on an atmosphere of respect and diligence. Neither stuffy nor severe, his extravagant frankness often takes the students by surprise. But his classroom ethics are put to the test when his students begin to challenge his methods. Inspired by the novel Entre les murs by François Bégaudeau. 130 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1877"">DVD X1877Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1068646/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149; Cannes Film Festival: Palme d'Or



Ѭ href=""http://www.lib.berkeley.edu/MRC/frenchbib.html#murs"">See separate bibliography of reviews and articles about this filmЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Code inconnu: Récit incomplet de divers voyages (Code Unknown: Incomplete Yales of Several Journeys)(France / Germany / Romania, 2000)","Director, Michael Haneke. Cast: Juliette Binoche, Thierry Neuvic, Ona Lu Yenke, Sepp Bierbichler, Arsinee Khanjian. On a bustling Paris street corner four separate livesintersect, interweaving the stories of a promising actress, her photojournalist boyfriend, a teacher of African descent and a Romanian illegal immigrant in this portrait of life in a fractured, lonely world. 113 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2051"">DVD 2051Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0216625/"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/Germanfilmbib.html#codeunknown"">See separate bibliography of reviews and articles about this filmЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Colossal Youth (Juventude Em Marcha) (France | Portugal | Switzerland, 2006)","Directed by Pedro Costa. Cast: Ventura, Vanda Duarte, Beatriz Duarte, Gustavo Sumpta, Cila Cardoso, Isabel Cardoso. A fusion of documentary and dramatic essay chronicling the relocation of the mostly Cape Verdean immigrant inhabitants of a Lisbon slum to a newly constructed district on the outskirts of the city. Special features (Supplemental disc, 199 min.): New selected-scene audio commentary for Colossal Youth with critic Cyril Neyrat and author-philosopher Jacques Rancière ; ""All Blossoms Again,"" a feature-length documentary on Costa, Colossal Youth, and the director's relationship to Fontainhas ; ""Tarrafal"" and ""The Rabbit Hunters,"" two short films by Costa ; ""Little Boy Male, Little Girl Female,"" a video installation piece by Costa featuring outtakes from In Vanda's Room and Colossal Youth.;  (without English subtitles)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2880"">DVD X2880Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2487"">DVD 2487Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0460480/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Andersen, Thom. ""Paintings in the Shadows."" Film Comment, Mar/Apr2007, Vol. 43 Issue 2, p56-61, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=24345287&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Comolli, Jean-Louis ""Frames and Bodies—Notes on Three Films by Pedro Costa: Ossos, No Quarto da Vanda, Juventude em Marcha"" Afterall: A Journal of Art, Context, and Enquiry, Issue 24 (Summer 2010), pp. 62-70 Ѭ href=""http://www.jstor.org/stable/10.1086/655929"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Corless, Kieron. ""Ace Ventura: king of the quarter."" Sight & Sound; May2008, Vol. 18 Issue 5, p12-12, 1p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=31976881&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Hansen, James. ""Interview with Pedro Costa."" Film Quarterly, Winter2009/2010, Vol. 63 Issue 2, p54-56, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=32440971&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Romney, Jonathan. ""Exile and the Kingdom."" Sight & Sound, Jun2008, Vol. 18 Issue 6, p46-53, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=32059664&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Cool! (Netherlands, 2004)","Directed by Theo van Gogh. Cast: Fouad Mourigh, Farhane El Hamchaoui, Jones Kruijne, Remco Alberts, Julien de Roover. Set to gangsta rap, this film tells the tale of three teenage criminals - (Abdel, Jacky, and Jeffrey) - who end up doing time in a juvenile detention center after messing up a bank robbery. Abdel, who has been changed for the better by his time in the correctional system, learns that their former gang-leader Prof is setting up another big heist. Abdel decides that Prof needs to be taken down and sets about sabotaging Prof's plan. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8247"">DVD 8247Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0382615/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Dealer (Germany, 1999)","Director, Thomas Arslan. Can is a small time drug dealer in a Turkish ""guest worker"" community in Berlin. He is not happy with his situation, constantly trying to reconcile the irreconcilable elements in his life: drugs, family, street violence and love. When his boss Hakan promises to make him a bar manager his hopes are raised but then Hakan is killed and Can is eventually arrested and condemned to four years in prison. PAL format. In German and Turkish. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2997"">vhs 999:2997Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0187805"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
