"Source:","http://www.lib.berkeley.edu/MRC/mixedracevid.html"
"
People of Mixed Race
Interracial Marriage/Dating/Families



"
"Fuori/outside","A young woman whose father was Italian American and mother was African American reflects on racism in her family and in her community. Written in the form of a letter to her aging white grandmother, she talks about racism against African Americans by New Yorkers from Southern Italy who had experienced racism themselves. 1997. 13 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM243"">Video/C MM243Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Great Girl.","This film follows Kim Su Theiler who came to America as a child adoptee, as she returns to Korea looking for her birth mother. Drawn from personal experience, this film is an evocative and poetic drama about al and cultural disorientation. A film by Kim Su Theiler. 1994. 14 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5230"">Video/C 5230Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Halmani.","Sensitive story of generation and cultural differences that occur when a Korean grandmother visits her daughter, American son-in-law, and bi-racial granddaughter in the United States. Writer/director, Kyung-Ja Lee. Dist.: Ѭ href=""http://www.pyramidmedia.com/item.php3?title_id=1336&list=1336&alpha="">Pyramid Film & VideoЖ. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4157"">Video/C 4157Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Halving the Bones.","Traces the filmmaker's journey into personal identity and the cultural interpretations of three generations of Asian American women. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4292"">Video/C 4292Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Hapa","Marathon runner Midori Sperandeo talks personally about her biracial heritage and reflects on the phenomenon of being biracial, with interviews from a number of ethnically mixed-raced people with additional viewpoints. Midori, her mother (who is also interviewed) and the others offer an overview of the struggle of racially mixed people to be accepted and understood and how that role has changed as the United States becomes a more multicultural society. Midori in describing her own personal struggles likens them to the challenges encountered in learning to be a long-distance runner. 26 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.82&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8897"">Video/C 8897Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"I'm British But...","Using Bhangra and Bangla music and the testimonies of young British Asians, the video uncovers a defiant popular culture--a synthesis--part Asian, part British. 30 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.88&section=1.4"">Center for Asian American Media catalog descriptionЖ


Ѭ href=""http://www.lib.berkeley.edu/MRC/ImBritishBut.gif"">Photograph from this videoЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3827"">Video/C 3827Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"In the Matter of Cha Jung Hee","Her passport said she was Cha Jung Hee. She knew she was not. So began a 40 year deception for a Korean adoptee who came to the US in 1966. Told to keep her true identity a secret from her new American family, this 8 year old girl quickly forgot she was ever anyone else. But why had her identity been switched? And who was the real Cha Jung Hee? In the Matter of Cha Jung Hee is the search to find the answers, as acclaimed filmmaker Deann Borshay Liem (First person plural, PBS 2000) returns to her native Korea to find her ""double,"" the mysterious girl whose place she took in America. Directed by Deann Borshay. c2010. Theatrical version (62:00) -- PBS/Educational version (51:10). min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4674"">DVD X4674Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Interracial Marriage: Blending the Races in America.","Examines how and why couples of different colors, religions, and ethnic roots are drawn to one another, how their differences affect their marriages, and how they deal with their friends and family. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1993. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4994"">Video/C 4994Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Jahkiya Queen Marie McLoskey-Beasley.","An young interracially married couple with an infant discuss adjustments in their marriage and relations with their parents. UCB Student film by Adrienne Aubry, Chris Azalde, Elena Carr, Jesse Ehrman. 17 min. 1998. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5556"">Video/C 5556Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Just Black?: Multi-Racial Identity.","In this documentary several young people whose parents are of mixed racial heritage talk about their struggle to establish, acquire and assert a racial identity. 57 min. ; 

Related web sites:
â€¢149; Ѭ href=""http://www.filmakers.com/index.php?a=filmDetail&filmID=398"">Filmakers Library catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3201"">DVD X3201Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2262"">Video/C 2262Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
