"Source:","http://www.lib.berkeley.edu/MRC/politicalmovies.html"
"
U.S. Politics and the Movies & Television



"
"â€¢149;Ѭ href=""#presidents"">The PresidentЖ","â€¢149;Ѭ href=""#politicians"">Politicians and PolitickingЖ","â€¢149;Ѭ href=""#coldwar"">The Cold War Goes to the MoviesЖ","â€¢149;Ѭ href=""#counterculture"">Sixties Counterculture Takes on the EstablishmentЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous PoliticsЖ","U.S. Politics and the Movies & Television"
"The Hundred Days of the Dragon (Outer Limits, TV series, 1963)","Director, Byron Haskin. Cast: Sidney Blackmer, Phillip Pine, Nancy Rennick, Joan Camden, Henry Scott. A subversive Chinese agent, scientifically transformed into a perfect likeness of the President of the United States, is running and gradually destroying America. Not even the First Family realizes that the real chief executive has been surreptitiously assassinated. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1012"">DVD 1012Ж","U.S. Politics and the Movies & Television"
"I Married a Communist (aka Woman on Pier 13 ) (1949)","Directed by Robert Stevenson. Cast: Laraine Day, Robert Ryan, John Agar. Brad Collins, former stevedore, is rising fast in a shipping company when local communist agitators use his former Party affiliation to extort his help in stirring up trouble. When Brad resists, communist femme fatale Christine works through his brother-in-law Don. But Brad's new wife Nan sees that her husband and brother are under pressure; when she investigates on her own, party boss Vanning takes ruthless action. 73 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4710"">DVD X4710Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0041495/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"I Was a Communist for the F.B.I. (1951)","Directed by Gordon Douglas. Cast: Frank Lovejoy, Dorothy Hart, Philip Carey, James Millican, Richard Webb. Ostensibly based on a ""Saturday Evening Post"" article in which a Pittsburgh steel company worker recounted his experiences as an undercover FBI agent in the Communist Party, this is a well-crafted propaganda piece in the form of a noir thriller. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1805"">DVD X1805Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0043665/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Doherty, Thomas. ""Hollywood Agit-Prop: The Anti-Communist Cycle, 1948-1954."" Journal of Film & Video; Fall88, Vol. 40 Issue 4, p15-27, 13p, Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00457343"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Leab, Dan. ""I Was A Communist For The FBI."" History Today 1996 46(12): 42-47. Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9704273846&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","U.S. Politics and the Movies & Television"
"Invasion U.S.A. (1951)","Directed by Alfred E. Green. Cast: Gerald Mohr, Peggie Castle, Dan O'Herlihy, Robert Bice, Tom Kennedy, Wade Crosby, Erik Blythe, Phyllis Coates, Aram Ketcher, Knox Manning, Edward G. Robinson, Jr., Noel Neill, Clarence A. Shoop. A mysterious stranger engages a diverse group of Manhattan bar patrons in a discussion on the best way to beat communism. Suddenly, a real Red Alert is declared and enemy parachutists by the thousands begin landing on American soil! Soon atom bombs are dropping, skyscrapers are crumbling and fifth columnists are taking over key industries. Through it all, a suave, street-smart reporter and a beautiful debutante desperately try to find time for romance amid the chaos. Special features: 2 original Civil Defense Dept. audio recordings (""The complacent Americans"" and ""If the bomb falls"") ; 1956 re-issue theatrical trailer ; ""Red nightmare,"" short film starring Jack Webb ; Conelrad 100, film encyclopedia of atomic films ; interviews with Dan O'Herlihy, William Schallert, Noel Neill. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5632"">DVD X5632Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0044750/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:","â€¢149;Briley, Ron. ""Invasion U.S.A."" Film & History, Spring2011, Vol. 41 Issue 1, p148-151, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=62718218&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Hendershot, Cyndy. ""Anti-Communism and Ambivalence in ""Red Planet Mars,"" ""Invasion USA,"" and ""The Beast of Yucca Flats."""" Science Fiction Studies, Jul2001, Vol. 28 Issue 2, p246-260, 15p Ѭ href=""http://www.jstor.org/stable/4240980"">Full-text of this article / review is available:UC users onlyЖ","U.S. Politics and the Movies & Television"
"Man on a Tightrope (1953)","Directed by Elia Kazan. Cast: Frederic March, Terry Moore, Gloria Grahame, Cameron Mitchell, the Brumbach Circus. Fredric March stars in this story of a Czechoslovakian circus troop whose members are drafted into the military when the communists take over. But as they near the Bavarian border, they decide to make a break to escape to the West. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5360"">DVD X5360Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0046040/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"See also: Reviews and articles:Ѭ href=""http://www.lib.berkeley.edu/MRC/kazan.html"">Elia Kazan bibliographyЖ","U.S. Politics and the Movies & Television"
"Manchurian Candidate (1962)","Directed by John Frankenheimer. Cast: Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury, Henry Silva, James Gregory. A U.S. Army platoon, captured in the Korean conflict, is whisked to Manchuria for three nightmarish days of experimental drug-and-hypnosis-induced conditioning that transform Harvey into a human time bomb.Based on a novel by Richard Condon. 127 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1078"">DVD 1078Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:406"">vhs 999:406Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0056218"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"â€¢149;Awards & Honors","â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ","U.S. Politics and the Movies & Television"
"Manchurian Candidate (2004)","Directed by Jonathan Demme. Cast: Denzel Washington, Meryl Streep, Liev Schreiber, Jon Voight, Kimberly Elise, Jeffrey Wright, Ted Levine, Bruno Ganz, Miguel Ferrer, Dean Stockwell, Jude Ciccolella. When his army unit is ambushed during the first Gulf War, Sergeant Raymond Shaw saves his fellow soldiers just as his commanding officer, Major Ben Marco, is knocked unconscious. Using the incident for political gain, Shaw eventually becomes a vice-presidential nominee, but Marco is haunted by dreams of what really happened in Iraq. As Marco investigates, the story begins to unravel. He begins to figure that the entire unit was kidnapped and brainwashed as part of a plot to get Shaw into the White House. Now the Manchurian Global corporation appears desperate to stop him from finding out. 130 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3366"">DVD 3366Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0368008/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/demme.html#manchurian"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"Mission to Moscow(1943)","Directed by Michael Curtiz. Cast: Walter Huston, Ann Harding, Oscar Homolka, George Tobias, Gene Lockhart. Mission to Moscow was made at the behest of F.D.R. in order to garner more support for the Soviet Union during WWII. It was from the book by Joseph E. Davies, former U.S. Ambassador to Russia. The movie covers the political machinations in Moscow just before the start of the war and presents Stalin's Russia in a very favorable light; so much so that the movie was cited years later by the House Un-American Activities Commission and was largely responsible for the screenwriter, Howard Koch, being blacklisted. Based on the book by Joseph E. Davies. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X592"">DVD X592Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0036166/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:","U.S. Politics and the Movies & Television"
"â€¢149;Bennett, Todd. ""Culture, Power, and Mission to Moscow: Film and Soviet-American Relations during World War II."" Journal of American History; Sep2001, Vol. 88 Issue 2, p489-518, 30p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=5555017&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Heller, Dana. ""A passion for extremes: Hollywood's Cold War romance with Russia."" Comparative American Studies Volume 3, Number 1, March 2005 , pp. 89-110(22) Ѭ href=""http://www.ingentaconnect.com/search/download;jsessionid=4n8hg4d43tacr.alexandra?pub=infobike%3a%2f%2fmaney%2fcas%2f2005%2f00000003%2f00000001%2fart00007&mimetype=application%2fpdf&exitTargetId=1277165199274"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Kinnard, Roy. The American films of Michael Curtiz / by Roy Kinnard and R.J. Vitone. Metuchen, N.J. : Scarecrow Press, 1986. (Main (Gardner) Stacks PN1998.A3 C8951 1986)","â€¢149;Koppes, Clayton R. ""Putting the Russians Through the Wringer."" In: Hollywood goes to war : how politics, profits, and propaganda shaped World War II movies Berkeley : University of California Press, 1990, c1987. Main (Gardner) Stacks; Moffitt D743.23 .K66 1990)","â€¢149;Radosh, Ronald; Radosh, Allis. ""A Great Historic Mistake: The Making of ""Mission to Moscow""."" Film History, Vol. 16, No. 4, Politics and Film (2004), pp. 358-377 Ѭ href=""http://www.jstor.org/stable/3815606"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Radosh, Ronald; Radosh, Allis. ""A Great Historic Mistake."" In: Red star over Hollywood : the film colony's long romance with the left / Ronald Radosh, Allis Radosh Radosh, Ronald. San Francisco : Encounter Books, [2005]. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10080007"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks PN1998.2 .R33 2005)","â€¢149;Robertson, James C. (James Crighton)The Casablanca man : the cinema of Michael Curtiz / James C. Robertson. London ; New York : Routledge, 1993. ( Main (Gardner) Stacks PN1998.3.C87 R63 1993)","â€¢149; Sbardellati, John. ""Brassbound G-Men and celluloid reds: the FBI's search for communist propaganda in wartime Hollywood."" Film History, 2008, Vol. 20 Issue 4, p412-436, 25p Ѭ href=""http://www.jstor.org/stable/3815606"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Small, Melvin. ""Buffoons and Brave Hearts: Hollywood Portrays the Russians, 1939-1944."" California Historical Quarterly, Vol. 52, No. 4 (Winter, 1973), pp. 326-337 Ѭ href=""http://www.jstor.org/stable/25157468"">Full-text of this article / review is available:UC users onlyЖ","U.S. Politics and the Movies & Television"
"Red Menace. (1949)","Directed by R. G. Springsteen. Cast: Narrator: Lloyd G. Davies ; cast: Robert Rockwell, Hanne Axman. Anti-Communist propaganda in the form of a story about a disgruntled ex-soldier. When he gets no help from the Veterans Bureau, he is ripe for the influences of Communists who lead him down the party line. But he soon meets up with disillusioned party members who attempt to break out. When released this film caused a sensation with its anti-Communist theme. It was a clear sign of the times--McCarthyism in America.
""Restored by the UCLA Film and Television Archive, The Red Menace was produced by Herbert J. Yates, founder and president of Republic Pictures. Like other Hollywood producers in 1949, he was eager to prove his loyalty to the government. The Senate Fact-Finding Committee on Un-American Activities rewarded him with a commendation for his work on this film."" [from video container] 87 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5614"">DVD X5614Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2002"">vhs 999:2002Ж","U.S. Politics and the Movies & Television"
"Sixties Counterculture Takes on the EstablishmentЖ","See Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html#hollywood"">The Sixties: The Movies Take on the 60s and 70sЖ","U.S. Politics and the Movies & Television"
"Miscellaneous PoliticsЖ","All Girl Revue(1940)","Directed by Lloyd French. Cast: June Allyson, The Harrison Sisters. ""Headlines announce that women will run the city for a day. The day's mayor sings a challenge to her lieutenants and they respond in close harmony that they'll make the city pretty. Then they rush to the train station to meet opera singer Madame Beverly. At the station, they ask for help, prompting the woman at the information booth to sing, ""Information Please."" A chorus line taps their way around the station. Madame Beverly arrives and sings, ""I Love to Sing a Whole Note."" Then, at a unique reception at City Hall, the Mayor gives Madame Beverly the key to the city, and they reprise the three songs."" [Ѭ href=""http://us.imdb.com/title/tt0229207/plotsummary"">IMDBЖ] 8 min. Included on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3509"">DVD 3509Ж","U.S. Politics and the Movies & Television"
"DC 9/11 (2004)","Directed by Brian Trenchard-Smith. Cast: Timothy Bottoms, John Cunningham, David Fonteno, Gregory Itzin, Penny Johnson Jerald, Stephen Macht, Mary Gordon Murray, Lawrence Pressman, Scott Alan Smith, George Takei. A drama telling the story of the days directly after the 9/11 attacks. Focuses on the difficult decisions and tasks faced by President George Bush and his staff on September 11, 2001 and the days following the attacks. Based on in-depth interviews and extensive research, the film recounts the tragic events from the moment Bush hears the news of the attacks to significant briefings with advisors. Chronicles national security meetings, links with Osama bin Laden and the al Qaeda network. Illustrates the Administrations strategy for responding both to the terrorists and the American people. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6423"">DVD 6423Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0353042/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Enemy of the State (1998)","Director, Tony Scott. Cast: Will Smith, Gene Hackman, Jon Voight, Regina King, Loren Dean, Jake Busey, Barry Pepper, Gabriel Byrne. A suspenseful story of espionage and corruption. Robert Clayton Dean is a successful attorney with a happy home life, until he unknowingly receives top-secret information about a murder and becomes the target of a pursuit. 140 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7465"">DVD 7465Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120660/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Independence Day (1996)","Director, Roland Emmerich. Cast: Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Margaret Colin, Randy Quaid, Robert Loggia, James Rebhorn, Harvey Fierstein. Massive spaceships appear in Earth's skies and wonder turns to terror as the ships blast destructive beams of fire down on cities all over the planet. The world's only hope lies with a determined band of survivors. 153 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1012"">DVD 1012Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0116629"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors","U.S. Politics and the Movies & Television"
"â€¢149;Academy Award - Best Visual Effects","â€¢149;Academy of Science Fiction, Fantasy & Horror Films - Best Director; Best Science Fiction Film; Best Special Effects","U.S. Politics and the Movies & Television"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/scifibib.html#independence"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Politics and the Movies & Television"
"Meet John Doe (1941)","Directed by Frank Capra; Cast: Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan, Gene Lockhart, Spring Byington. A genial and aimless tramp is hoaxed into playing the role of ""John Doe"" for the sake of a newspaper stunt until he discovers that his appeal will be used by a grasping industrialist to bludgeon his way to power. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+413"">DVD 413Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0033891"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/capra.html#johndoe"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"See also:","â€¢149;""Meet John Doe."" In: Best American screenplays. First series : complete screenplays / edited by Sam Thomas ; foreword by Frank Capra. New York : Crown Publishers, c1986. (Main (Gardner) Stacks PN1997.A1 B36 1986)","U.S. Politics and the Movies & Television"
"Medium Cool (1969)","Directed by Haskell Wexler; Cast: Robert Forster, Verna Bloom, Peter Bonerz, Marianna Hill, Harold Blankenship. Filmed against the backdrop of the 1968 Democratic National Convention and ensuing riots, this story is about a television cameraman who chooses not to get personally concerned about the ugliness he must film each day for his station. But the hate and hypocrisy command his attentions at last, and he becomes increasingly involved in the realities he finds with his camera. 111 min. 999:1122","â€¢149; Ѭ href=""http://us.imdb.com/Title?0064652"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"â€¢149;Awards & Honors","â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ","U.S. Politics and the Movies & Television"
"â€¢149; Cronin, Paul. ""Mid-Summer Mavericks."" Sight and Sound, vol. 11, no. 9, pp. 24-27, September 2001.","â€¢149;Holtan, Orley I. ""The Agrarian Myth in ""Midnight Cowboy, Alice's Restaurant, Easy Rider"" and ""Medium Cool"" Journal of Popular Culture 4:1 (1970:Summer) p.273 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pao-us:&rft_dat=xri:pao:article:b181-1970-004-01-000021:1"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;""Medium Cool."" Sight and Sound, vol. 8, no. 8, pp. 12-15, August 1998.","â€¢149;Milliken, Christie. ""1969: movies and the counterculture."" In: American cinema of the 1960s : themes and variations / edited by Barry Keith Grant. New Brunswick, N.J. : Rutgers University Press, c2008. (Main (Gardner) Stacks PN1993.5.U6 A8576 2008)","â€¢149;Mordden, Ethan. Medium cool : the movies of the 1960s / Ethan Mordden. New York : Knopf, 1990. (Main (Gardner) Stacks and Moffitt PN1993.5.U6 M655 1990)","â€¢149;Renov, Michael. ""The ""Real"" in Fiction: Brecht, Medium Cool, and the Refusal of Incorporation."" In: The subject of documentary Minneapolis : University of Minnesota Press, 2004. (Main Stack PN1995.9.D6.R44 2004; PFA PN1995.9.D6.R44 2004)","â€¢149;Sanjek, David. ""Medium Cool."" Senses of Cinema, Jul2008, Issue 48, p34-34, 1p Ѭ href=""http://archive.sensesofcinema.com/contents/cteq/08/48/medium-cool.html"">Full-text of this article / review is available:UC users onlyЖ","U.S. Politics and the Movies & Television"
"No Way Out (1987)","Directed by Roger Donaldson. Cast: Kevin Costner, Gene Hackman, Sean Young, Will Patton, Howard Duff, Jason Bernard. A powerful tale of intrigue set in the political whirl of Washington and the inner corridors of the Pentagon involving a coverup and witchhunt after a politician accidentally kills his mistress. Based on the book The big clock by Kenneth Fearing. 114 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5764"">DVD X5764Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2301"">vhs 999:2301Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0093640/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:","U.S. Politics and the Movies & Television"
"â€¢149;Ceplair, Larry. ""No way out."" Cineaste, 1988, Vol. 16 Issue 1-2, p72-73, 2p","â€¢149;Haspel, Paul. ""Agency Games in Cold War Washington: Politics and Gender in No Way Out."" Journal of Popular Film & Television, Fall2010, Vol. 38 Issue 3, p133-142, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=53843764&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Kael, Pauline. ""No way out."" New Yorker, September 7 1987, Vol. 63, p98-100, 3p","â€¢149;Lyons, Donald. ""Homeless: The films of Roger Donaldson."" Film Comment, Jan/Feb94, Vol. 30 Issue 1, p64, 4p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00084978"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Simon, John. ""No way out."" National Review, September 25 1987, Vol. 39, p59-61, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=brb&AN=504768400&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","U.S. Politics and the Movies & Television"
"The Parallax View (1974)","Directed by Alan J. Pakula. Cast: Warren Beatty, Hume Cronyn, William Daniels, Paula Prentiss. A superb political thriller about one man's paranoia that turns out to be fact! A news reporter along with seven others, witnesses the assassination of a political candidate. When the other seven die in ""accidents,"" the newsman begins to doubt the official position: that a lone madman was responsible for the crime. 102 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4361"">DVD X4361Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3183"">vhs 999:3183Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0071970"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:","U.S. Politics and the Movies & Television"
"â€¢149;Cook, David. ""1974: Movies and Political Trauma."" In: American cinema of the 1970s : themes and variations / edited by Lester D. Friedman. New Brunswick, N.J. : Rutgers University Press, c2007. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10214185"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks PN1993.5.U6 A8577 2007)","â€¢149;Kaplan, Fred. ""Parallax View: Political Paranoia."" Jump Cut, vol. 3, pp. 4-5, Sept 1974 Ѭ href=""http://www.ejumpcut.org/home.html"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Lev, Peter ""Disaster and Conspiracy: Airport, The Poseidon Adventure, Jaws, The Parallax View, Chinatown."" In: American films of the 70s : conflicting visions / Peter Lev. Austin, TX : University of Texas Press, 2000. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10194811"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; Moffitt PN1993.5.U6 L44 2000)","â€¢149;Nelson, John S. ""Conspiracy as a Hollywood Trope for System."" Political Communication, Volume 20, Issue 4 October 2003 , pages 499 - 503 Ѭ href=""http://www.informaworld.com/smpp/ftinterface~content=a714044565~fulltext=713240930~frm=content"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Palmer, James W.; Riley, Michael M. ""America's Conspiracy Syndrome: From Capra to Pakula."" Studies in the Humanities, vol. 8, no. 2, pp. 21-27, Mar. 1981","â€¢149;Palmer, R. Barton. ""The Hitchcock Romance and the '70s Paranoid Thriller."" In: After Hitchcock : influence, imitation, and intertextuality / edited by David Boyd and R. Barton Palmer. Austin, TX : University of Texas Press, 2006. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10185712"">Full text available onlineЖ [UCB users only]; print: Main (Gardner) Stacks PN1998.3.H58 A68 2006)","â€¢149;Zelizer, Barbie. ""The Kennedy assassination through a popular eye: toward a politics of remembering."" Journal of Communication Inquiry; 1992, Vol. 16 Issue 2, p21-36, 16p Ѭ href=""http://jci.sagepub.com/cgi/reprint/16/2/21"">Full-text of this article / review is available:UC users onlyЖ","U.S. Politics and the Movies & Television"
"The Politics of Love (2011)","Directed by William Dear. Cast: Mallika Sherawat, Brian J. White, Loretta Devine, Gerry Bednob, Ruby Dee. In this comedy romance a conservative Republican falls for an Obama campaign volunteer in the time leading up to the 2008 U.S. Presidental election. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6690"">DVD X6690Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1444270/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Trial by Media (TV, 2000)","Directed by Sheldon Larry. Cast: Christine Lahti, Tom Skerritt, Jay Thomas, Mark Feuerstein, Stanley Anderson, Blake Lindsley, Scott Michael Campbell, Matt Weinberg, Will Rothhaar, Caroline Aaron, Teri Austin, Karen Kim. Lyssa Grant Hughes has given blood sweat and tears to build a name for herself as a doctor. As a respected physician promoting women's health issues and fighting for women's rights, she has decided to set her sights on a career in politics. When a family friend tips a reporter about a minor indiscretion in her past, Lyssa's campaign becomes the focus of a media feeding frenzy. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6893"">DVD X6893Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0217249/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Wag the Dog (1997)","Directed by Barry Levinson. Cast: Dustin Hoffman, Robert De Niro, Anne Heche, Willie Nelson. When the President is caught in a sex scandal less than 2 weeks before the election, a Presidential advisor brings in a spin doctor, who decides they need a war to distract the media's attention and he calls on Hollywood's top producer to create it. Based on the book American hero by Larry Beinhart. Special DVD features: Cast & crew biographies & filmographies, feature length audio commentary by director Barry Levinson and actor Dustin Hoffman, original theatrical trailer, essay on politics and the media ""The line between truth and fiction"", featurette ""From Washington to Hollywood and back"" which contains interviews with Tom Brokaw, Barry Levinson, John Frankenheimer and others, interview with William H. Macy ""Macy on Mamet."" 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1821"">DVD X1821Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120885/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#wag"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"","U.S. Politics and the Movies & Television"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж","U.S. Politics and the Movies & Television"
