"Source:","http://www.lib.berkeley.edu/MRC/politicalmovies.html"
"
U.S. Politics and the Movies & Television



"
"â€¢149;Ѭ href=""#presidents"">The PresidentЖ","â€¢149;Ѭ href=""#politicians"">Politicians and PolitickingЖ","â€¢149;Ѭ href=""#coldwar"">The Cold War Goes to the MoviesЖ","â€¢149;Ѭ href=""#counterculture"">Sixties Counterculture Takes on the EstablishmentЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous PoliticsЖ","U.S. Politics and the Movies & Television"
"Primary Colors (1998)","Directed by Mike Nichols. Cast: John Travolta, Emma Thompson, Billy Bob Thornton, Adrian Lester, Maura Tierney, Paul Guilfoyle, Larry Hagman, Kathy Bates. Jack Stanton is a virtually unknown Southern governor on a quest for the White House with his strong, savvy and equally ambitious wife, Susan. Running against the odds, the Stantons need all the help they can get from their extremely colorful political team. Together, they take off on a hilarious, heart-wrenching and ultimately history-making roller coaster ride to the top. Based on the novel of the same title by Anonymous [attributed to Joe Klein]. 144 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4830"">DVD X4830Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0119942"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#primarycolors"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"Recount: The Story of the 2000 Presidential Election(TV, 2008)","Directed by Cast: Kevin Spacey, Bob Balaban, Ed Begley, Laura Dern, John Hurt, Denis Leary, Bruce McGill, Tom Wilkinson. Originally broadcast on HBO May 25, 2008. A docu-drama of one of the most controversial events in recent U.S. election history, which shook a nation's faith in its ability to stage a fair and open election. Beginning on election day 2000 and culminating with the Supreme Court decision Bush vs. Gore, this film follows the bizarre 36-day struggle to determine which candidate won Florida ... and the presidency. 116 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X58"">DVD X58Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0077663/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Secret Honor: A Political Myth (1984)","Directed by Robert Altman. Cast: Philip Baker Hall. A dramatization of the life of Richard M. Nixon in the final hours before his resignation from the U.S. presidency. The plot theorizes that Nixon did not resign because of the Watergate cover-up but was motivated instead by his secret decision to thwart the plans of a cabal of businessmen to continue their control of the White House. Based on the original play by Donald Freed and Arnold M. Stone. Special features: Commentaries by Altman and Freed ; interview with Philip Baker Hall ; archival film from the career of Pres. Nixon. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4311"">DVD X4311Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0088074"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/altman.html#honor"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Politics and the Movies & Television"
"Suddenly (1954)","Directed by Lewis Allen. Cast: Frank Sinatra, Sterling Hayden, Nancy Gates, James Gleason, Kim Charney. Frank Sinatra's chilling central performance as a cold-blooded assassin with a heart of steel sparks this explosive thriller about a trio of hired gunmen who plan to murder the President of the United States during his stopover in a small town called Suddenly. 77 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3906"">DVD 3906Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0047542/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Thirteen Days (2000)","Directed by Roger Donaldson. SEE Ѭ href=""#coldwar"">Cold WarЖ","U.S. Politics and the Movies & Television"
"Truman (TV 1995)","Directed by Frank Pierson. Cast: Gary Sinise, Diana Scarwid, Richard Dysart, Colm Feore, James Gammon, Tony Goldwyn, Pat Hingle, Harris Yulin. A made for television docu-drama of the life of President Harry S. Truman who led the nation through the end of World War II, the beginning of the Cold War, the struggle for civil rights and the creation of the United Nations. Based on the book by David McCullough. 130 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1141"">DVD 1141Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0114738/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"Vantage Point (2008)","Directed by Pete Travis. Cast: Dennis Quaid, Matthew Fox, Forest Whitaker, Bruce McGill, Edgar Ramirez, Said Taghmaoui, Ayelet Zurer, Zoe Saldana, Sigourney Weaver, William Hurt, James LeGros, Eduardo Noriega. U.S. president Ashton is in Salamanca, Spain to announce plans for a major global summit on terrorism. As he stands behind the podium in front of a loudly cheering crowd, he is shot twice. This is followed minutes later by a small explosion and then a massive blast. Secret Service agents Barnes, Taylor, and Holden immediately jump into action, trying to find the terrorists responsible amid all the chaos. First, the events are seen through the eyes of television news producer Rex Brooks. Then, the assassination attempt is replayed from seven different points of view. Each perspective reveals a few more clues. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9869"">DVD 9869Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0443274/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"W. (2008)","Directed by Oliver Stone. Cast: Josh Brolin, Elizabeth Banks, James Cromwell, Ellen Burstyn, Richard Dreyfuss, Scott Glenn, Toby Jones, Stacy Keach,, Bruce McGill, Thandie Newton, and Jeffrey Wright. Tells the story of George W. Bush, 43rd President of the United States, his life's struggles and triumphs, how he met his wife, Laura, found his faith, and what happened during the critical days before he made the decision to invade Iraq. Special features: Audio commentary with director Oliver Stone; ""Dangerous Dynasty: The Bush Legacy"" - a look at President Bush's legacy from renowned political experts, academics and historians; ""No Stanger to Controversy: Oliver Stone's George W. Bush"" -an inside look at the making of the film; W. filmmakers' research and annotations guide; deleted scenes with optional director audio commentary; theatrical trailer. 129 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1114"">DVD X1114Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1175491/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"The West Wing (TV series)","SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html#Drama"">Television videographyЖ","U.S. Politics and the Movies & Television"
"Wrong is Right (1982)","Directed by Richard Brooks. Cast: Sean Connery, George Grizzard, Robert Conrad, Hardy Kruger, Ron Moody, Leslie Nielsen, Katharine Ross, Dean Stockwell. Political double-talk, dirty tricks, hidden microphones, spy satellites, bugging in the Oval Office and a nuclear bomb for sale are the ingredients in this amusing satire of American news reporting, covert agencies and the political system. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2414"">DVD 2414Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0084920/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
