"Source:","http://www.lib.berkeley.edu/MRC/spanishfilm.html"
"
Spanish and Portuguese Cinema
Ж
"
"Contents:","â€¢149;Ѭ href=""#span"">Spanish CinemaЖ","â€¢149;Ѭ href=""#port"">Portuguese CinemaЖ

SEE ALSO:Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmfilm.html#Brazil"">Brazilian CinemaЖ

","Spanish and Portuguese Cinema"
"¡Átame! (Tie Me Up! Tie Me Down!) (1990)","Directed by Pedro Almodóvar. Cast: Victoria Abril, Antonio Banderas, Loles Leon, Francisco Rabal. Comedy in which an orphaned mental patient kidnaps a porn star in an irrationally inspired bid for love. 105 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+501"">DVD 501Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1504"">vhs 999:1504Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0101026/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/almodovar.html#tieme"">See separate bibliography of reviews and articles about this filmЖ","Spanish and Portuguese Cinema"
"¡Ay, Carmela! (Spain / Italy, 1989)","Directed by Carlos Saura. Cast: Carmen Maura, Andres Pajares, Gabino Diego, Maurizio de Razza, Jose Sancho, Mario de Candia, Miguel Angel Rellan, Edward Zentara. Carmela and her two companions are travelling performers entertaining the Republican troops during the Spanish Civil War. They decide to seek their fortune elsewhere, but mistakenly fall in with the Nationalist forces, who arrest and imprison them, but give them a chance to perform for their freedom. 105 min.  (subtitles);  (in Spanish)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2651"">vhs 999:2651Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3532"">vhs 999:3532Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0101025"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishfilmbib.html#carmela"">See separate bibliography of reviews and articles about this filmЖ","Spanish and Portuguese Cinema"
"Bajo las estrellas (2007)","Directed by Felix Viscarret. Cast: Alberto San Juan, Emma Suarez, Violeta Rodriguez, Julian Villagran. Benito, a drunken Madrid transient, is obliged to return to his hometown at the behest of his benevolent brother Lalo, where he discovers that his sibling is engaged to a singe mother with a troubled history. At first Benito vows to torpedo the wedding plans by any means possible, but a remarkable friendship with the bride-to-be's borderline autistic child soon leads the meddling drunk to reconsider his stance on the marriage. Based on the novel by Fernando Aramburu. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9833"">DVD 9833Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0479221/"">Credits and other information from the Internet Movie DatabaseЖ
","Spanish and Portuguese Cinema"
"La Barberillo de Lavapies (1996)","In this Spanish operetta Lamparilla, a dashing barber and his sweetheart, Paloma, become embroiled in a plot against Grimaldi, minister to Carlos III of Spain. In Spanish without titles. PAL format tape. 95 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1784"">vhs 999:1784Ж","Spanish and Portuguese Cinema"
"Barrio (Spain, 1998)","Directed by Fernando León de Aranoa. Cast: Crispulo Cabezas, Timy, Eloi Yebra, Marieta Orozco, Alicia Sanchez, Enrique Villen, Francisco Algora, Chete Lera. Three adolescent boys struggle with growing up in modern urban Madrid. Caught in the concrete jungle, 15-year-old friends Rai, Manu, and Javi pass the summer dreaming of girls and sandy beaches. Javi is surprised by his friends' sexual interest in his sister Susi. Not having a vehicle, Manu struggles to keep his pizza delivery job. Rai decides to enter a contest for an exotic vacation, but wins a jet ski instead. This is immediately stolen before he manages to profit by selling it. Manu and his father lie about Manu's absent junkie brother, while Javi's mother gets a court restraint to deal with Javi's violent father. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X71"">DVD X71Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0146468/"">Credits and other information from the Internet Movie DatabaseЖ
","Spanish and Portuguese Cinema"
"Belle Époque (Spain / Portugal / France, 1992)","Directed by Fernando Trueba. Cast: Penelope Cruz, Miriam Diaz-Aroca, Gabino Diego, Fernando Fernan Gomez, Michel Galabru, Ariadna Gil, Agustin Gonzalez, Chus Lamprave, Mary Carmen Ramirez, Jorge Sanz, Maribel Verdu. Fernando, a handsome, young Spanish Civil War deserter who befriends a free-thinking artist, finds himself in a romantic dilemma when the artist's four beautiful daughters return to their country home. Which woman should he romance? Based on a story by Rafael Azcona, Jose Luis Garcia Sanchez and Fernando Trueba. 109 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X914"">DVD X914Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1726"">vhs 999:1726Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0103791/"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
"â€¢149;Awards","â€¢149;Academy Award - Foreign Language Film","â€¢149;British Academy of Film and Television Arts Awards - Best Foreign-language Film","Spanish and Portuguese Cinema"
"â€¢149;Archibald, David ""No Laughing Matter: Comedy and the Spanish Civil War in Cinema."" In: Historical comedy on screen: subverting history with humour / edited by Hannu Salmi. Bristol [England] ; Chicago : Intellect, 2011. (Ѭ href=""http://site.ebrary.com/lib/berkeley/Doc?id=10476296"">Full-text available onlineЖ (UC Berkeley users only))","â€¢149; Colmeiro, Jose F. ""Recent Spanish Cinema in National and Global Contexts."" ""Paradise found? Ana/chronic nostalgia in ""Belle Époque."". Film-Historia, 1997, Vol. 7 Issue 2, p131-140, 10p","â€¢149;D'Lugo, Marvin. ""Recent Spanish Cinema in National and Global Contexts."" Post Script, Winter/Spring2002, Vol. 21 Issue 2, p3-101, 10p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00381486"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Deveny, Thomas. ""Carnivalesque Humor in Fernando Trueba's Belle époque."" In: Selected proceedings of the First International Conference on Hispanic Humor / editor, Paul W. Seave International Conference on Hispanic Humor (1st : Philadelphia, Pa.) Potomac, Md. : Scripta Humanistica, [1997?] Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=43644479&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ Also (Main (Gardner) Stacks PQ6152 .I6 1997)","â€¢149;D'Lugo, Marvin. ""Recent Spanish Cinema in National and Global Contexts Post Script,"" Winter/Spring2002, Vol. 21 Issue 2, p3-101, 10p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00381486"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Gasta, Chad M. ""(De)constructing and (Re)negotiating Identities: (Re)dressing for Carnival in Fernanco Trueba's Belle Époque (1992)."" Hispania; Mar2004, Vol. 87 Issue 1, p177-184, 8p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=13530854&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Jordan, Barry. ""Promiscuity, Pleasure, and Girl Power: Fernando Trueba's Belle Epoque (1992)."" In: Spanish cinema : the auteurist tradition / edited by Peter William Evans. Oxford : Oxford University Press, 1999. (Main (Gardner) Stacks PN1993.5.S7 S635 1999)","â€¢149;Jordan, Barry. ""Refiguring the Past in the Post-Franco Fiction Film: Fernando Trueba's Belle Époque. Bulletin of Hispanic Studies, vol. 76, no. 1, pp. 139-56, Jan 1999 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=6695498&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Perriam, Chris. ""Jorge Sanz: El Galán Sumiso. Problematising Masculinities in Mainstream Cinema in Spain."" Forum for Modern Language Studies; Jan2001, Vol. 37 Issue 1, p26-37, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=44439646&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Spanish and Portuguese Cinema"
"Beltenebros (Spain / Netherlands, 1991)","Directed by Pilar Miró. Cast: Terence Stamp, Patsy Kensit, José Luis Gomez. One night in the winter of 1962, Captain Darman remembers events of the Spanish Civil War. Days before in England he had been charged with a secret mission, to fly to Madrid and execute a traitor who had infiltrated the Communist Party's clandestine apparatus. But Darman remembers a similar order 16 years before. 110 min. ;  (In Spanish without subtitles)  (PAL) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8610"">DVD 8610Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3317"">DVD 3317Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3560"">vhs 999:3560Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0101431/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","Spanish and Portuguese Cinema"
"â€¢149;Millán, Juan Antonio Pérez. ""Women Are Also the Future: Women Directors in Recent Spanish Cinema."" Cineaste, Winter2003, Vol. 29 Issue 1, p50-55, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=11871676&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Spanish and Portuguese Cinema"
