"Source:","http://www.lib.berkeley.edu/MRC/imageslatinos.html"
"

LatinosЖ
"Bordertown (2006)","Written and directed by Gregory Nava. Cast: Jennifer Lopez, Antonio Banderas, Martin Sheen, Maya Zapata, Juan Diego Botto, Sonia Braga. When a young girl is raped and left for dead in Mexico, she enlists the help of an ambitious reporter and a local newspaper owner for help. Soon their own lives are in danger as they try to uncover the terrors on the Juarez, Mexican/American border. Based on true events. Special features: ""Exposing the Juarez murders: the making of Bordertown"" ; ""Dual Injustice,"" a WITNESS.org documentary short ; ""La frontera"" a documentary short from exec. producer Barbara Martinez Jitner ; ""Make a difference,"" informaton from Amnesty International and WITNESS.org ; audio commentary by Gregory Nava ; theatrical trailers. 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9190"">DVD 9190Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0445935/"">Credits and other information from the Internet Movie DatabaseЖ"
"Born in East L.A (1987)","Writer/director, Cheech Marin. Cheech Marin is accidentally deported to Mexico without I.D. or knowledge of Spanish, and can't convince U.S. officials to let him back in. Film follows Cheech's repeated comic attempts to get back home. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1872"">DVD 1872Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1156"">vhs 999:1156Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0058125/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html#eastla"">See separate bibliography of reviews and articles about this filmЖ"
"Bread and Roses(UK / France / Germany / Spain / Italy / Switzerland, 2000)","Director Ken Loach. Cast: Pilar Padilla, Adrien Brody, Elpidia Carrillo, George Lopez, Alonso Chavez, Monica Rivas. Maya is an illegal alien who has crossed the U.S. border from Mexico to search for her sister Rosa, and to begin a new life. After being reunited, Rosa gets Maya a job with a janitorial service in a large office building. While working, Maya happens upon Sam Shapiro, a muckraking lawyer and union agitator whom the service-workers' union has assigned to bring its ""justice for janitors"" campaign to the building. Appalled at the work conditions and unfair labor practices, Maya and Sam team up to fight her employer. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5453"">DVD 5453Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0212826/"">Credits and information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#breadroses"">See separate bibliography of reviews and articles about this filmЖ"
"Boundaries (2000)","Directed by Greg Durbin. Cast: María Elena Jorda-Langfeldt, Navid Negahban. Angelica is pursued from Mexico to San Diego by a mute trombonist who pokes her relentlessly in the head with his trombone. At first she hates it, but after three years, she can't live without it. Her saga ends when he abandons her in a most unexpected way. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3927"">vhs 999:3927Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0269014/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Break of Dawn (1988)","Written and directed by Isaac Artenstein. Cast: Oscar Chavez, Maria Rojo, Tony Plana, Pepe Serna. Based on the life story of Pedro J. Gonzalez who championed the cause of Mexican-Americans in California during the Depression years and who worked for the reform of the California penal system. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1758"">vhs 999:1758Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0099176/"">Credits and information from the Internet Movie DatabaseЖ"
"The Captain from Castille (1947)","Directed by Henry King. Cast: Tyrone Power, Jean Peters, Cesar Romero, John Sutton, Lee J. Cobb, Antonio Moreno, Thomas Gomez. Forced to flee his home during the Spanish Inquisition, nobleman Pedro De Vargas escapes with a beautiful peasant girl and joins Cortez on his dangerous expedition to conquer Mexico. As the young couple fall deeply in love, Pedro's great courage brings his leader honor and glory, even as an evil officer threatens the success of the entire expedition. Notable for deft swordplay and thrilling battle sequences. 141 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8300"">DVD 8300Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0039243/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Cargo(2007)","Directed by Jen Harrington. Cast: Adriana Solis, Cesar Giraldo, Jose Chaparro, Jessica Amariles, Andre Bauth. Hidden inside a shipping container on a boat headed to the United States, eight Colombian strangers wait for days in the dark to reach their destination. But, a dangerous journey takes a frightening turn when one woman makes a shocking discovery. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 14 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7369"">DVD X7369Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0446546/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Cargo Truck (Camión de carga) (2007)","Directed by Juan Sebastian Jacome. Cast: Dolores Maldonado, Kevin Martínez, Antonio Barrera. An ill Central American single mother trying to immigrate to the U.S. by hiding in a truck risks her life in order to give her son a stable future in the United States. 9 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6961"">DVD X6961Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1099939/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Carnival of Souls (2007)","Directed by Edgar Arce. Cast: Jonathan Dane, Luis de Amechazurra, Richard C. Hawkes. A young Latino man must deal with a family tragedy as well as the lives of the people around him. 2008. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6988"">DVD X6988Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1381739/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Chico and the Man. (TV)","Cast: Freddie Prinze, Jack Albertson, Della Reese, Scatman Crothers. Ed Brown was a cantankerous old widower who owned and operated a small filling station in Los Angeles. He hired a fast-talking, cheery young Chicano, Chico Rodriguez, to help him run the place. Since Chico also lived in the garage, the two were always together, and when they weren't bickering between themselves, they came to a greater understanding of each other's generation and culture. They even learned to love each other. Pilot [episode] -- If I Were a Rich Man -- Chico and the Van -- Chico's Padre -- Ed Talks to God -- Chico's Cousin Pepe. Originally produced for television between 1974 and 1978. 150 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4444"">DVD 4444Ж"
