"Source:","http://www.lib.berkeley.edu/MRC/Warfilm.html"
"
War and War-Era Movies


"
"Contents:","â€¢149;Ѭ href=""#revolution"">US Revolutionary WarЖ","â€¢149;Ѭ href=""#civil"">US Civil WarЖ","â€¢149;Ѭ href=""#wwI"">World War IЖ","â€¢149;Ѭ href=""#spain"">Spanish Civil WarЖ","â€¢149;Ѭ href=""#wwII"">World War IIЖ","â€¢149;Ѭ href=""#korea"">Korean WarЖ","â€¢149;Ѭ href=""#wwIII"">Cold War & World War IIIЖ","â€¢149;Ѭ href=""#viet"">Vietnamese WarЖ","â€¢149;Ѭ href=""#bosnia"">Bosnia/Herzegovina/Croatia/Serbia/YugoslaviaЖ","â€¢149;Ѭ href=""#mideast"">Middle East / North AfricaЖ","â€¢149;Ѭ href=""#irish"">Irish Civil WarsЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous Wars and Military EngagementsЖ","â€¢149;Terrorism in Film & TV SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorismmovies.html"">separate listing of works on international terrorismЖ","War and War-Era Movies"
"","See also the following MRC Videographies:","War and War-Era Movies"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesjews.html"">The Movies, Race, and Ethnicity: JewsЖ (for Holocaust dramas)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">Propaganda and DisinformationЖ (Social, Political, and War Propaganda)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/animation.html"">Animation (for WWII-era animation)Ж","War and War-Era Movies"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilmbib.html"">Bibliography of books on war movies in the UC Berkeley libraryЖ","War and War-Era Movies"
"See also:","â€¢149;The Combat Film (American Cinema; 6). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3714"">Video/C 3714Ж","War and War-Era Movies"
"","War and War-Era Movies"
"","War and War-Era Movies"
"Gettysburg (1993)","Directed by Ronald F. Maxwell. Cast: Tom Berenger, Jeff Daniels, Martin Sheen, Maxwell Caulfield, Kevin Conway, C. Thomas Howell, Richard Jordan, James Lancaster, Stephen Lang, Sam Elliott. On July 1, 1863, more than 150,000 Union and Confederate soldiers were drawn into one of the bloodiest battles of the Civil War. When it was all over, 50,000 men had paid the ultimate price. Today, Gettysburg is known as the turning point of the war and a pivotal event in American history. Cast: some of the most authentic Civil War battle scenes ever committed to film, and outstanding performances by the cast, ""Gettysburg"" accurately depicts the events, battles and personal struggles from points of view of soldiers on both sides of the conflict. 254 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7992"">DVD 7992Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0107007/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:","U.S. Civil WarЖ"
"â€¢149;Alleva, Richard. "" It's all in the acting -- Gettysburg directed by Robert F. Maxwell."" Commonweal. Nov 19, 1993. Vol. 120, Iss. 20; p. 27 (2 pages)Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9403292706&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Chadwick, Bruce. ""Actor Against Actor."" American Heritage; Aug/Sep2004, Vol. 55 Issue 4, p64-66, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=14015059&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Gallagher, Gary W. ""Gettysburg."" The Journal of American History. Dec 1994. Vol. 81, Iss. 3; p. 1398 (3 pages)Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9501180889&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Niemi, Robert. ""Braveheart"" In: History in the media : film and television Santa Barbara, Calif. : ABC-CLIO, c2006. (MAIN: PN1995.9.H5 N54 2006)","â€¢149;Winchell, Mark Royden. ""The cause of us all : Ronald F. Maxwell's Gettysburg (1993) and Gods and generals (2003)."" In: God, man, and Hollywood : politically incorrect cinema from ""The birth of a nation"" to ""The Passion of the Christ"" / Mark Royden Winchell. Wilmington, Del. : ISI Books, c2008. (Main Stack PN1995.9.S6.W53 2008; PFA PN1995.9.S6.W53 2008)","U.S. Civil WarЖ"
"Glory (1989)","Directed by Edward Zwick. Cast: Matthew Broderick, Denzel Washington, Cary Elwes, and Morgan Freeman. Two idealistic young Bostonians lead the 54th Massachusetts Volunteer Infantry, America's first Black regiment in the Civil War. Based on the letters by Robert Gould Shaw ; based on the book ""Lay this laurel"" by Lincoln Kirstein ; based on the book ""One gallant rush"" by Peter Burchard. Special features: Disc 1: Director's audio commentary; picture-in-picture video commentary featuring Ed Zwick, Morgan Freeman & Matthew Broderick ; Disc 2: Documentary ""The true story of 'Glory' continues"" narrated by Morgan Freeman; ""Voices of 'Glory'"" featurette; original featurette; deleted scenes; bonus previews; talent files. 122 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6920"">DVD 6920Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:403"">vhs 999:403Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0097441/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/africanambib2.html#glory"">See separate bibliography of reviews and articles about this filmЖ","U.S. Civil WarЖ"
"Gods and Generals (2003)","Directed by Ronald F. Maxwell. Cast: Jeff Daniels, Stephen Lang, Robert Duvall, Mira Sorvino, Kevin Conway, C. Thomas Howell, Frankie Faison, Jeremy London, Bruce Boxleitner. Presents the story of three bold men and three fateful Civil War battles. Col. Joshua Lawrence Chamberlain left behind a quiet life and a career as a college professor to fight for the Union. Gen. Thomas ""Stonewall"" Jackson was a man of great religious faith who served in the defense of the Confederacy. And Gen. Robert E. Lee, who led the Confederate army, was a man who was forced to choose between his loyalty to the United States and his love of the Southern States where he was born and raised. Chamberlain, Jackson, and Lee are followed through the declaration of war and the battles at Manassas, Fredericksburg, and Chancellorsville. 219 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1773"">DVD 1773Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0279111/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:","U.S. Civil WarЖ"
"â€¢149;Beck, Roy. ""Gods and Generals: Roy Beck considers the historical and moral dimensions of the latest attempt to put Jackson, and the American Civil War itself, on the big screen. (Cross Current).(Movie Review)."" History Today 53.2 (Feb 2003): 36(2). Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9075376&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Buscombe, Edward. ""Gods and Generals.(Movie Review)."" Sight and Sound 13.9 (Sept 2003): 50(2). Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00230448"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Niemi, Robert. ""Gods and Generals."" In: History in the media : film and television Santa Barbara, Calif. : ABC-CLIO, c2006. (MAIN: PN1995.9.H5 N54 2006)","â€¢149;Sharrett, Christopher. ""Gods and Generals."" Cineaste 28:3 (Summer 2003) p. 36-38 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00227437"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Winchell, Mark Royden. ""The cause of us all : Ronald F. Maxwell's Gettysburg (1993) and Gods and generals (2003)."" In: God, man, and Hollywood : politically incorrect cinema from ""The birth of a nation"" to ""The Passion of the Christ"" / Mark Royden Winchell. Wilmington, Del. : ISI Books, c2008. (Main Stack PN1995.9.S6.W53 2008; PFA PN1995.9.S6.W53 2008)","â€¢149;Woodworth, Steven E. ""Gods and Generals.(Movie Review)."" Journal of American History 90.3 (Dec 2003): 1123(2). Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=11611988&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","U.S. Civil WarЖ"
"Gone With the Wind (1939)","Directed by Victor Fleming, et al. Cast: Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland, Thomas Mitchell, Barbara O'Neill, Evelyn Keyes, Ann Rutherford, Hattie McDaniel, Butterfly McQueen, Carroll Nye, Laura Hope Crews, Ona Munson. An epic story of the Southern aristocracy's fight to maintain it's way of life during the Civil War years. It starts out as Scarlett O'Hara and her family are amongst the ladies and ""chivalrous"" gentlemen at the Twelve Oaks Plantation's ball before the Civil War begins. As the South finally crumbles down around her, Scarlett devises a way to overcome starvation in order save herself and her family during the war and the following years of reconstruction. DVD Special features: (Disc 3: About the movie) Christopher Plummer narrates the documentary ""The making of a legend: Gone with the wind""; ""Restoring a legend"" chronicles the film/video restoration process; 1939 and 1961 Atlanta Premiere newsreels ; prologue from International release version ; Foreign-language version sample scenes ; historical short subject ""The old South""; trailer gallery. Special features: (Disc 4: about the cast) ""Melanie remembers: reflections by Olivia de Havilland"" exclusive 2004 documentary ; two insightful profiles ""Gable: the king remembered"" and ""Vivien Leigh: Scarlett and beyond"" ; the supporting players: cameo portraits of an unforgettable ensemble. Based on the novel by Margaret Mitchell. 222 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+100"">DVD 100Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:142"">vhs 999:142Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0031381/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/africanambib2.html#gonewiththewind"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Civil WarЖ"
"The Horse Soldiers (1959)","Directed by John Ford. Cast: John Wayne, William Holden, Constance Towers, Judson Pratt, Hoot Gibson. Colonel Marlowe is in command of a motley assortment of 1200 Union volunteers whose task-- and apparent suicide mission-- is to infiltrate 300 miles of Southern territory and destroy the most strategic rail route in the Confederacy. Marlowe's life is complicated by his ferocious running feud with the company's surgeon, Major Kendall. Based on: The horse soldiers / by Harold Sinclair. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7994"">DVD 7994Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0052902/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Civil WarЖ"
"Reviews and articles:","â€¢149;Berg, Gordon. ""The Horse Soldier (1959)."" America's Civil War; Nov2007, Vol. 20 Issue 5, p66-66, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=26471530&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","U.S. Civil WarЖ"
"See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/johnford.html"">John Ford bibliographyЖ","U.S. Civil WarЖ"
"The Last Confederate: The Story of Robert Adams (ala Strike the Tent) (2005)","Directed by A. Blaine Miller and Julian Adams. Cast: Julian Adams, Gwendolyn Edwards, Amy Redford, Eric Holloway, Joshua Lindsey, Tippi Hedren, Bob Dorian, Mickey Rooney. Robert Adams is a strong-willed southern captain, in the midst of the American Civil War, whose leadership and heart of fire rally his men to fight for their land. Filled with passion, blood, and tragedy, this is a true story of one man's love for his country and for Eveline McCord, his beloved from the North. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8127"">DVD 8127Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0339743/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Civil WarЖ"
