"Source:","http://www.lib.berkeley.edu/MRC/moviesaboutmovies.html"
"

Movies About Filmmaking and Hollywood /
Movie Parodies and Homages


Contents:
"Bollywood Calling (India, 2002)","Directed by Nagesh Kukunoor. Cast: Om Puri, Pat Cucisk, Navin Nischol, Perizaad Zorabian, Chet Dixon, Monique Curnen. A out-of-luck American B-movie star is thrust into the circus of Bollywood where she is spotted by a producer who concocts the first pairing of an American with the legendary Manu Kapoor, an ageing Indian star. An old-fashioned Hindi potboiler, presenting an honest, no-holds barred look at the world of Indian filmmaking. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1101"">DVD 1101Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0303733/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bollywood Dreams (India, 1995)","Directed by Ramgopal Varma. Cast: Jackie Shroff, Aamir Khan, Urmila Mathondkar, Gulshan Grover. Mili is encouraged by her childhood friend Munna to pursue her dream of winning fame as an actress. When Mili is offered a part in a film by a famous actor, Munna feels he's no longer worthy of her affections and decides to leave town. 175 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4464"">DVD 4464Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0114234/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bollywood/Hollywood (Canada, 2002)","Directed by Deepa Mehta. Cast: Rahul Khanna, Lisa Ray, Dina Pathak, Moushumi Chatterjee, Ranjit Chowdry, Kulbhushan Kharbanda, Jessica Pare, Akshaye Khanna. Rahul, a young millionaire who is pressured by his family to find a bride, employs a girl to pose as his Indian fiancee. A musical comedy and family drama that is also a spoof of Indian film culture. Non-US format DVD (PAL, Region 2). 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3797"">DVD 3797Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0303785/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bollywood Queen (UK, 2002)","Directed by Jeremy Wooding. Cast: Preeya Kalidas, James McAvoy, Amerjit Deu, Ray Panthaki, Ronny Jhutti. Nineteen-year-old Geena is entranced by the glamour of Bollywood and seduced by the sounds of R & B girl groups. When Geena meets Jay she finds that life can be just like the adventure and romance of the Bollywood movies she loves. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3847"">DVD 3847Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0321494/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bombay Talkie (1970)","Director, James Ivory. A sophisticated American woman comes to Bombay and falls for two men involved in filmmaking in this affectionate, bemused view of Bollywood -- India's huge movie-making dream factory. Along the way she flees to an ashram to take up the spiritual life -- hilariously -- but eventually succeeds in destroying the marriage of one man and the careers of both. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2899"">DVD 2899Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0065484/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bombshell(1933)","Directed by Victor Fleming. Cast: Jean Harlow, Lee Tracy, Frank Morgan, Franchot Tone, Pat O'Brien, Una Merkel, Ted Healy. Screen siren Lola Burns is fed up with the scandalous stories her publicist, Space Hanlon puts out, the endless arguments on the sets of her films and her family's constant drain on her money and peace of mind. Her attempts to get married, adopt a baby and quit the business altogether are constantly thwarted, unbeknownst to her, by Space, who is secretly in love with her. 96 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7115"">DVD X7115Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3816"">vhs 999:3816Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0023825/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Beavers, Karen. ""Everybody Has a Mammy: The Productive Discomfort of Louise Beavers' Movie Maids."" Genders; 2010, Issue 52, p1-1, 1p Ѭ href=""http://www.genders.org/g52/g52_beavers.html"">Full-text of this article / review is available:Ж
â€¢149;DiBattista, Maria. ""Blonde Bombshells: Jean Harlow, Carole Lombard, and Ginger Rogers."" In: Fast-talking dames / Maria DiBattista. New Haven : Yale University Press, c2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10167889"">Full text available onlineЖ (UCB users only); Print: Main (Gardner) Stacks PN1995.9.W6 D53 2001)
â€¢149;Jordan, Jessica Hope. The sex goddess in American film, 1930-1965 : Jean Harlow, Mae West, Lana Turner, and Jayne Mansfield / Jessica Hope Jordan. Amherst, N.Y. : Cambria Press, 2009. (Main (Gardner) Stacks PN1995.9.F44 J67 2009)
â€¢149;Tremper, Ellen. ""Double-peroxide, moving parts, and mobile mouths : movies of the 1930s."" In: I'm no angel : the blonde in fiction and film / Ellen Tremper. Charlottesville : University of Virginia Press, 2006. (Main (Gardner) Stacks; PFA PR868.B56 T74 2006)

","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Boogie Nights (1998)","Directed by Paul Thomas Anderson. Cast: Mark Wahlberg, Julianne Moore, Burt Reynolds, Don Cheadle, John C. Reilly, William H. Macy, Heather Graham, Nicole Parker, Philip Seymour Hoffman. A film that throws the covers back on California's adult entertainment industry in the swinging seventies through the story of rising porn star Dirk Diggler. A touching and humorous portrait of a most unusual family of filmmakers brought to life with a sizzling seventies soundtrack. Special DVD features: The John C. Reilly files; feature-length commentaries with writer/director P.T. Anderson and cast members; 10 deleted scenes; ""Try"" music video. 155 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1036"">DVD X1036Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0118749"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Goss, Brian Michael. ""Academic Journal ""Things Like This Don't Just Happen"": Ideology and Paul Thomas Anderson's Hard Eight, Boogie Nights, and Magnolia."" Journal of Communication Inquiry, Apr2002, Vol. 26 Issue 2, p171, 22p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=6491848&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Sickels, Robert C. ""1970s Disco Daze: Paul Thomas Anderson's Boogie Nights and the Last Golden Age of Irresponsibility."" Journal of Popular Culture, Spring2002, Vol. 35 Issue 4, p49, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9101885&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Udovitch, Mim. ""The epic obsessions of Paul Thomas Anderson."" Rolling Stone, 02/03/2000, Issue 833, p46, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=2735055&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bowfinger (1999)","Director, Frank Oz. Cast: Steve Martin, Eddie Murphy, Christine Baranski, Terence Stamp, Heather Graham, Jamie Kennedy. A group of wanna-be filmmakers and actors concocts a scheme to make a movie with a major star without having to pay him in this comedy. With the help of Jiff Ramsey, brother to Hollywoods biggest star, Hollywood's least successful director stops at nothing to get him into his latest low-budget film. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3383"">DVD 3383Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0131325/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Broken Embraces (Los abrazos rotos) (Spain, 2009)","Directed by Pedro Almodâ€¢243;var. Cast: Penâ€¢233;lope Cruz, Lluis Homar, Blanca Portillo, Josâ€¢233; Luis Gâ€¢243;mez, Rubâ€¢233;n Ochandiano, Tamar Novas,â€¢193;ngela Molina. Fourteen years ago, he had two names: Harry Caine, the pseudonym he used for his literary works, and Mateo Blanco, his real name which he used to direct films. But that was before the accident when he lost his sight and his beloved Lena. Now he goes by Harry Caine. If he can't direct films, he can only survive with the idea that Mateo Blanco died on Lanzarote with his Lena. When he is given the chance to tell his story, he can't refuse. Special features: Deleted scenes; Pedro directs Penâ€¢233;lope; Variety Q&A with Penâ€¢233;lope Cruz; ""The cannibalistic councillor"" a short film by Pedro Almodâ€¢243;var; On the red carpet: the New York film festival closing night.127 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2715"">DVD X2715Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0913425/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/almodovar.html#brokenembraces"">See separate bibliography of reviews and articles about this filmЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"The Brothers Skladanowsky (Die Gebruder Skladanowsky) (Germany, 2002)","Directed by Wim Wenders. Cast: Udo Kier, Otto Kuhnle, Christoph Merg, Nadine Buttner, Lucie Hurtgen-Skladanowsky. A rare gem of cinematic storytelling that weaves docudrama, fictional reenactment, and experimental photography into a powerful, reflective work on the early days of German cinema. The film tells the story of the Skladanowsky Brothers, the German-born duo who invented the ""bioskop"", an early version of the film projector at the same time as the Lumieres and Edison were working on their inventions. The footage is shot with a 1920s handcranking camera, in the style of silent films. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6951"">DVD 6951Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0113151/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
