"Source:","http://www.lib.berkeley.edu/MRC/chuckjones.html"
"
The Films of Chuck Jones"
"
"Case of the Missing Hare (1942)","Bugs' home in a hollow tree is marred when the magician, Ala Bahma, plasters his show posters all over it. Bugs goes to the show to heckle. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8499"">DVD 8499Ж"
"Cat Feud (1958)","Bulldog Marc Anthony is a guard at a construction site. He finds a kitten, Pussyfoot, to whom he affectionately gives a wiener for lunch. A hungry, grown cat sees the wiener and tries to take it from Pussyfoot. So, in defense of his kitten friend, Marc Anthony fights the cat on the steal beams of the partly constructed skeleton of a building. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7359"">DVD 7359Ж"
"Cheese Chaser (1951)","After invading a cheese factory, mice Hubie and Bertie have finally had their fill of cheese and figure there's nothing more left to live for. They plan to end it all by surrendering to Claude Cat, who becomes decidedly suspicious. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж"
"Chow Hound (1951)","A mean, greedy, glutton of a bulldog uses two unwilling parties - a frightened cat and a mouse to help him grab dinner from various residences. The scheme: Using the cat to pose as the pet for the residents; the mouse is used in one scheme while the cat poses as a sabertoothed-alley cat at a local zoo in another. The cat is instructed to gather juicy steaks and then surrender them to the bulldog, who badgers each time, ""What, no gravy?!"" Eventually, the bulldog holds the cat hostage for months, anticipating that the cat's ""owners"" will post rewards in the newspaper. The bulldog returns the cat to his masters, collects the reward and then reclaims his cat by means of a trick-bed. The dog uses his ill-gotten gains to purchase a meat butcher shop, where ""acres and acres"" of meat hang from the ceiling. It isn't long before the greedy bulldog must pay for his gluttony his grossly bloated carcass lies strapped to an operating table at a veterinarian's hospital, with the doctors planning to pump the mutt's stomach. Just then, the cat and mouse arrive to get their very just revenge. ; ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4715"">DVD X4715Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8514"">DVD 8514Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж"
"Claws for Alarm (1954)","Porky Pig doesn't realize that the old hotel where he and Sylvester are spending the night is really part of a ghost town. It's only Sylvester who sees the band of murderous mice trying to do them in, while Porky chalks his fears up to insanity. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж"
"Coming!! Snafu (1943)","Directed by Chuck Jones [uncredited]. Introducing Private Snafu, the nation's worst soldier and his various versions in different branches of the armed forces. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2004"">DVD 2004Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X937"">DVD X937Ж"
"Conrad the Sailor (1942)","Conrad Cat's attempts to keep the battleship decks swabbed are frustrated by Daffy's tricks, like putting paint in his bucket, and by unexpected appearances of the pint-sized Admiral. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7359"">DVD 7359Ж"
"The Curious Puppy (1939)","While pursuing a little dog who's wandered into an amusement park at night, the park's watchdog accidentally switches on the power to all the rides and attractions, bewildering the pair of canines. Video Disc 165"
"Daffy Duck and the Dinosaur (1939)","""Millions and billions and trillions of years ago,"" Caspar Caveman (a caricature of Jack Benny) and his pet dinosaur Fido come up against Daffy when they're out duck hunting. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж"
"Deduce, You Say (1956)","Daffy Duck is a detective who is hunting for the Shorepshire Slasher. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
