"Source:","http://www.lib.berkeley.edu/MRC/corporationsmovies.html"
"
Corporations, Wall Street, and Sundry Capitalism
in the Movies
"The Social Network (2010)","Directed by David Fincher. Cast: Jesse Eisenberg, Andrew Garfield, Armie Hammer, Max Minghella, Justin Timberlake. On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Zuckerberg is the youngest billionaire in history, but for this entrepreneur, success leads to both personal and legal complications. Based upon the book The accidental billionaires by Ben Mezrich. Special features: Disc 1. Audio commentary with director David Fincher ; audio commentary with writer Aaron Sorkin & cast -- Disc 2. How did they ever make a movie of Facebook? (feature-length documentary in four parts) ; David Fincher and Jeff Cronenweth on the visuals ; Angus Wall, Kirk Baxter and Ren Klyce on post ; Trent Reznor, Atticus Ross and David Fincher on the score ; Ruby Skye VIP room (multi-angle scene breakdown) ; In the hall of the mountain king (Reznor's first draft) ; swarmatron. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5104"">DVD X5104Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1285016/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;British Academy of Film and Television Arts Awards - Best Director; Best Editing; Best Screenplay
â€¢149;Broadcast Film Critics Association Awards - Best Picture; Best Director
â€¢149;Directors Guild of America - Outstanding Directorial Achievement in Motion Pictures
â€¢149;Golden Globes - Best Picture; Best Director; Best Screenplay
â€¢149;London Critics Circle Film Awards - Film of the Year; Director of the Year
â€¢149;Los Angeles Film Critics Association Awards - Best Picture; Best Director; Best Screenplay
â€¢149;National Board of Review, USA - Best Picture; Best Director; Best Actor (Jesse Eisenberg)
â€¢149;National Society of Film Critics Awards - Best Film; Best Director; Best Actor (Jesse Eisenberg) Best Screenplay
â€¢149;New York Film Critics Circle Awards - Best Picture; Best Director
â€¢149;San Francisco Film Critics Circle - Best Picture; Best Director; Best Screenplay, Adapted


Reviews and articles:

â€¢149;Bolduc, Brian. ""The Face of Ambition: A Harvard Grad Reviews The Social Network."" Academic Questions, Mar2011, Vol. 24 Issue 1, p112-115, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=58606248&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Sklar, Robert. ""The Social Network."" Cineaste, Winter2010, Vol. 36 Issue 1, p46-48, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=55609578&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ



","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Solid Gold Cadillac (1956)","Directed by Richard Quine. Cast: Judy Holliday, Paul Douglas, Fred Clark, John Williams, Hiram Sherman, Neva Patterson, Ray Collins, Arthur O'Connell ; George Burns, narrator. Laura Partridge, a small-time stockholder creates havoc at a board meeting, falls in love with the former chief executive officer, and wrests control of the corporation from its selfish, corrupt board of directors. From the play by George S. Kaufman and Howard Teichmann. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5045"">DVD X5045Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0049777/"">Credits and information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Spector, Bert. ""The Man in the Gray Flannel Suit in The Executive Suite: American Corporate Movies in the 1950's Academy of Management Annual Meeting Proceedings, 2007, p1-6, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=26530842&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149; Teichmann, Howard. The solid gold Cadillac; a comedy, by Howard Teichmann and George S. Kaufman. New York, Random House [1954] (NRLF (UCB) PS3539.E24 S6 1954)","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Spanish Prisoner (1997)","Directed by David Mamet. Cast: Ben Gazzara, Felicity Huffman, Ricky Jay, Steve Martin, Rebecca Pidgeon, Campbell Scott. Joe Ross is the inventor of ""The Process,"" a top-secret formula which promises to make his company unimaginably rich. But when Joe meets a successful, cynical businessman he begins to suspect that his boss will never share the profits. And with that seed of doubt planted, an intricate con-game soon falls into place. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4453"">DVD X4453Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0120176/"">Credits and information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Berger, Jason. ""Class and Power: Exploring with College Students the Ethics and Class Conflict Messages in the Films of David Mamet."" In: The image of class in literature, media, and society : selected papers [of the] Society for the Inte Society for the Interdisciplinary Study of Social Imagery. Conference (8th : 1998 : Colorado Springs, Colo.) Pueblo, Co. : Society, University of Southern Colorado, [1998] (Main (Gardner) Stacks HT609 .S64 1998)","â€¢149;Crossings : David Mamet's work in different genres and media / edited by Johan Callens. Newcastle upon Tyne : Cambridge Scholars Pub., 2009. (Main (Gardner) Stacks PS3563.A4345 Z64 2009)","â€¢149;Mamet, David. The Spanish prisoner ; and, The Winslow boys : two screenplays / by David Mamet. New York : Vintage Books, 1999. (Main (Gardner) Stacks PS3563.A4345 S63 1999)","â€¢149; McIntire-Strasburg, Jeffrey O ""Performing Pedagogy: Teaching and Confidence Games in David Mamet's House of Games and The Spanish Prisoner."" Journal of the Midwest Modern Language Association, Spring2005, Vol. 38 Issue 1, p31-37, 7p","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Swimming with Sharks (1994)","Directed by Jonathan Demme. Cast: Kevin Spacey, Frank Whaley, Michelle Forbes. Kevin Spacey stars as Buddy Ackerman, ""the boss from hell"" who reigns over an entry-level corporate job anyone would kill for. The ambitious Guy (Frank Whaley), Buddy's personal assistant, finds himself ducking everthing from insults to paperweights as he tries to satisfy Buddy's needs. But when those ""needs"" involve Guy's girlfriend, he snaps. In a wicked twist of personnel payback, Guy takes Buddy as his ""personal hostage"" for a hilarious executive-suite revenge that is every abused employee's dream come true! 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5941"">DVD 5941Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0114594/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Syriana (2005)","Directed by Stephen Gaghan. Cast: George Clooney, Matt Damon, Jeffrey Wright, Chris Cooper, William Hurt, Mazhar Munir, Tim Blake Nelson, Amanda Peet, Christopher Plummer, Alexander Siddig. As a career CIA operative, Bob Barnes begins to uncover the disturbing truth about the work he has devoted his life to. An up-and-coming oil broker, Bryan Woodman faces an unimaginable family tragedy and finds redemption in his partnership with idealistic Gulf Prince Nasir al-Subaai. Corporate lawyer, Bennett Holiday faces a moral dilemma as he finesses the questionable merger of two powerful U.S. oil companies. Across the globe, a disenfranchised Wasim Khan, a Pakistani teenager, falls prey to the recruiting efforts of a charismatic cleric. Each plays their small part in the vast and complex system that powers the industry, unaware of the explosive impact their lives will have upon the world. Based on the book entitled ""See no evil,"" by Robert Baer. 138 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5765"">DVD 5765Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0365737/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Beck, Bernard. ""A Hill of Beans in This Crazy World: Personal Scruples and Global Realities in Syriana, The Constant Gardener, and Munich."" Multicultural Perspectives, 2006, Vol. 8 Issue 4, p25-28, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=23579721&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Dickstein, Morris. ""The Politics of the Thriller."" Dissent , Spring2006, Vol. 53 Issue 2, p89-92, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=20408523&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Fuller, Graham E. ""Will Groundbreaking Movies Move the Middle East?"" NPQ: New Perspectives Quarterly, Spring2006, Vol. 23 Issue 2, p31-33, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=20583123&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Gilbey, Ryan. ""Syriana."" Sight & Sound v. ns16 no. 4 (April 2006) p. 72, 74-5Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790ebc41f925fefecb18954897fc694871e41a8189d8ac481de9e04bcf2fe1023d6c&fmt=P"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Hamid, R. ""Lord of War; Syriana."" Cineaste v. 31 no. 2 (Spring 2006) p. 52-5Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790ebc41f925fefecb18954897fc694871e4389523292422c67699b4be197bd4ccd1&fmt=P"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Jaafar, A. ""Interview: Ali Jaafar talks to Stephen Gaghan."" Sight & Sound v. ns16 no. 3 (March 2006) p. 18-20 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790ebc41f925fefecb18954897fc694871e41705d29ed5a71e6617c82e18237a965e&fmt=P"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Katz, Wallace. ""Hollywood Rarity: Imperialism Unmasked."" New Labor Forum, Fall2006, Vol. 15 Issue 3, p107-112, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=33400764&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Krajnc, Anita; Wartel, Larry; Jacobs, Kellee A. ""Epocalypse Now."" Alternatives Journal, Oct2006, Vol. 32 Issue 4/5, p28-32, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=23737807&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Pomerance, Murray. ""Baghdad Bad."" Film International, Oct2009, Vol. 7 Issue 5, p27-49, 23p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=44872261&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Shaheen, Jack. ""Arabs and Muslims in Hollywood's ""Munich"" and ""Syriana""."" Washington Report on Middle East Affairs, Mar2006, Vol. 25 Issue 2, p73-73, 1p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=19548954&site=ehost-live"">Full-text of this article / review is available:Ж

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Thank You For Smoking(2005)","Directed by Jason Reitman. Cast: Aaron Eckhart, William H. Macy, Maria Bello, Rob Lowe, Katie Holmes, Robert Duvall, Adam Brody, Cameron Bright, Sam Elliott, David Koechner, J.K. Simmons, Robert Duvall, Kim Dickens. Nick Naylor is a sexy, smart and charismatic spin-doctor for Big Tobacco who will fight to protect American's right to smoke. At the same time he is trying to maintain the idea of a perfect role model for his 12-year-old son. When Nick incurs the wrath of a senator bent on snuffing out cigarettes, Nick's powers of ""filtering the truth"" will be put to the test. Based on the novel by Christopher Buckley. Special features: Director and cast commentary; Deleted scenes with director commentary; ""The Charlie Rose show"" interview with Jason Reitman, Aaron Eckhart, Christopher Buckley and David O. Sacks; ""The making of 'Thank you for smoking'"" featurette; ""America: living in spin"" featurette; Poster gallery; Art Dept. gallery; Storyboard gallery; Theatrical trailer; Soundtrack spot. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6293"">DVD 6293Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0427944/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Detmering, Robert. ""Exploring the Political Dimensions of Information Literacy through Popular Film"" portal: Libraries & the Academy, Jul2010, Vol. 10 Issue 3, p265-282, 18p Ѭ href=""http://muse.jhu.edu/journals/portal_libraries_and_the_academy/v010/10.3.detmering.pdf"">Full-text of this article / review is available:Ж
â€¢149;Doherty, Thomas. ""Thank You For Smoking."" Cineaste, Summer2006, Vol. 31 Issue 3, p54-56, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=21294729&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Jacobson, Harlan. ""All Fired Up."" Film Comment, Nov/Dec2009, Vol. 45 Issue 6, p20-21, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=45388892&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Javers, Eamon; Woellert, Lorraine. ""It's Hard Out Here For a Lobbyist."" BusinessWeek; 3/20/2006, Issue 3976, p88-89, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=20009296&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Johnson, Ann; del Rio, Esteban; Kemmitt, Alicia. ""Missing the Joke: A Reception Analysis of Satirical Texts."" Communication, Culture & Critique, Sep2010, Vol. 3 Issue 3, p396-415, 20p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=cax&AN=53054006&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Olivier, Bert. ""Pseudo-communication and the return of the sophist: Thank you for smoking, at first sight."" Communicatio: South African Journal for Communication Theory & Research, 2007, Vol. 33 Issue 2, p45-62, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=33400735&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Raw, Martin. ""Thank You for Smoking."" Addiction, Jan2007, Vol. 102 Issue 1, p168-169, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=23848071&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Thompson, Stacy. ""Consumer Ethics in Thank You For Smoking."" Film-Philosophy, 2009, Vol. 13 Issue 1, p53-67, 15p Ѭ href=""http://www.film-philosophy.com/2009v13n1/thompson.pdf"">Full-text of this article / review is available:Ж

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"There Will Be Blood (2007)","Directed by Paul Thomas Anderson. Cast: Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarâ€¢225;n Hinds, Dillon Freasier, Barry Del Sherman, Paul F. Tompkins. Self-made oilman Daniel Plainview has a voracious appetite for money and power. Working with his ""son and partner,"" 11-year-old H.W., he becomes a California tycoon in the early years of the 20th century. His only challenge comes from a young, ambitious charismatic preacher, Eli Sunday. Based on the novel ""Oil!"" by Upton Sinclair. Special features: 15 minutes - pics, research, etc for the making of ""There will be blood; trailers; ""fishing"" sequence; haircut/interrupted hymn; dailies gone wild; The story of petroleum (ca. 1923). 158 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9844"">DVD 9844Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0469494/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Academy Awards, USA - Best Actor (Daniel Day-Lewis)
â€¢149;Broadcast Film Critics Association Awards - Best Actor (Daniel Day-Lewis)
â€¢149;Golden Globes, USA - Best Actor (Daniel Day-Lewis)
â€¢149;Los Angeles Film Critics Association Awards - Best Picture; Best Director; Best Actor
â€¢149;National Society of Film Critics Awards, USA - Best Picture; Best Director; Best Actor
â€¢149;New York Film Critics Circle Awards - Best Actor (Daniel Day-Lewis)


Reviews and articles:

â€¢149;Blake, Richard A. ""After Sunset."" America, 3/10/2008, Vol. 198 Issue 8, p18-20, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31156992&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Goldman, Michael. ""Old-fashioned Filmmaking."" Millimeter, Nov/Dec2007, Vol. 35 Issue 6, p8-14, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=28083736&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Heyraud, Joyce King. ""There Will Be Blood."" Psychological Perspectives, Jun2008, Vol. 51 Issue 1, p179-180, 2p; Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=32746563&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Hitchcock, Peter. ""Oil in an American Imaginary."" New Formations: A Journal of Culture/Theory/Politics, vol. 69, pp. 81-97, 2010 Summer Ѭ href=""http://gateway.proquest.com/openurl?ctx_ver=Z39.88-2003&xri:pqil:res_ver=0.2&res_id=xri:lion-us&rft_id=xri:lion:ft:abell:R04331209:0"">Full-text of this article / review is available:Ж
â€¢149;James, Nick; Walters, Ben; Bell, James. ""Black gold."" Sight & Sound, Feb2008, Vol. 18 Issue 2, p30-34, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=28773826&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Jones, Kent. ""Triumph of the Will."" Film Comment, Jan/Feb2008, Vol. 44 Issue 1, p24-27, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=28334139&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Klawans, Stuart. ""A Hard Man."" Nation, 1/28/2008, Vol. 286 Issue 3, p32-34, 3p, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=28351453&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;McQuillan, Deanna Boyd; McQuillan, Matthew. ""There Will Be Blood."" Journal of Feminist Family Therapy; 2008, Vol. 20 Issue 3, p271, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=flh&AN=MFS-34718902&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Murray, Terri. ""There Will Be Blood."" Philosophy Now, Jul/Aug2009, Issue 74, p42-45, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=43659836&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Prout, Ryan; Murray, Jonathan. ""There Will Be Blood."" Film International, 2008, Vol. 6 Issue 3, p84-87, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=32628556&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Yacowar, Maurice. ""Digging In."" Queen's Quarterly, vol. 115, no. 1, pp. 94-103, 2008 Spring Ѭ href=""http://gateway.proquest.com/openurl?ctx_ver=Z39.88-2003&xri:pqil:res_ver=0.2&res_id=xri:lion-us&rft_id=xri:lion:ft:abell:R04238689:0"">Full-text of this article / review is available:Ж

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Time Out (L'emploi du temps) (France, 2001)","Directed by Laurent Cantet. Cast: Aurâ€¢233;lien Recoing, Karin Viard, Serge Livrozet. Tells the story of Vincent, a middle-class family man recently fired from his drab, middle-management job. Unable to tell his family about his firing, Vincent spends his workdays driving around the French countryside - ""business trips"" he tells his wife - keeping intact the reassuring routine of going to work and coming home to his wife and kids. As his family grows suspicious of his evasive behavior, Vincent is forced to spin a new tale, pretending to get a job working for the U.N. In a bid to keep the money coming in, he recruits old friends to invest in an imaginary emerging-markets investment scheme. Vincent also falls in with Jean-Michel, a black market dealer whose ignominious past serves as an ominous warning for Vincent's present course. Despite his efforts to maintain an undisturbed surface, Vincent's wife begins to suspect something amiss. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4383"">DVD X4383Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0279065/"">Credits and other information from the Internet Movie DatabaseЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Trading Places(1987)","Directed by John Landis. Cast: Dan Aykroyd, Eddie Murphy, Ralph Bellamy, Don Ameche, Denholm Elliott, Jamie Lee Curtis. The rich Duke Brothers wager on whether a born loser like Billy Ray Valentine, a hustler from the ghetto, can become as successful as Winthorpe, a wealthy investment executive, if put in the proper environment--and would a prig like Winthorpe turn to a life of crime if he were to lose it all. 116 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3779"">DVD 3779Ж","â€¢149; Ѭ href=""http://imdb.com/title/tt0086465/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Tucker (1988)","Directed by Francis Ford Coppola. Cast: Jeff Bridges, Joan Allen, Martin Landau, Frederic Forrest, Mako, Dean Stockwell. Tucker is an engineer and showman who has a vision of the car of the future. Against formidable odds he raises the money and builds a fleet of them, only to have his factory shut down by Detroit's Big Three auto manufacturers. Based on true events. Special features: ""Tucker, the man and the car,"" 1948 promo film ; commentary by Francis Ford Coppola ; ""Under the hood: making Tucker."" 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4396"">DVD X4396Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0096316/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/CoppolaBib.html#tucker"">See separate bibliography of reviews and articles about this filmЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Tycoon: A New Russian (Oligarkh; Un nouveau russe) (2002)","Directed by Pavel Lounguine. Cast: Vladimir Mashkov, Mariya Mironova, Andrei Krasko, Levani Uchaneishvili, Mikhail Vasserbaum, Sergei Yushkevich, Aleksandr Samojlenko, Natalya Kolyakanova. During the Gorbachev years, Platon Makovski and his four buddies are university students who jump on the private capitalism movement. Fast-forward 20 years, Platon finds himself the richest man in Russia, having sacrificed his friends to get to the top. But with this cynical rise, comes a brutal fall. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4082"">DVD 4082Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0308671/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Lipovetsky, M. ""New Russians as a Cultural Myth."" Russian Review; Jan2003, Vol. 62 Issue 1, p54-71, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=8954829&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Pozekfsky, P. ""Russian gangster films as popular history: genre, ideology and memory in Pavel Lungin's ""Tycoon""."" Studies in Russian & Soviet Cinema v. 2 no. 3 (2008) p. 299-325 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=36347929&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Roberts, Rex. ""Tycoon."" Film Journal International, Jun2003, Vol. 106 Issue 6, p48, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=10958358&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Up in the Air(1987)","Directed by Jason Reitman. Cast: George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman, Danny McBride, Amy Morton, Melanie Lynskey, J. K. Simmons, Sam Elliott. Ryan Bingham is a corporate downsizing expert who flies all over the world on business. Just as he is on the cusp of reaching ten million frequent flyer miles, and meeting the frequent traveler woman of his dreams, his company grounds him. When Bingham goes on his last cross country firing expedition, he will learn that life isn't about the journey, but about the connections made along the way. Based on the novel by Walter Kirn. Special features: commentary; ""Shadowplay: before the story"" featurette; deleted scenes; trailers. 109 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2730"">DVD X2730Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1193138/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Dickstein, Morris. ""War, Economy, History."" Dissent, Summer2010, Vol. 57 Issue 3, p87-91, 5pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=51378335&site=ehost-live"">Full-text of this article / review is available:Ж

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Wall Street(1987)","Directed by Oliver Stone. Cast: Michael Douglas, Charlie Sheen, Daryl Hannah, Martin Sheen, Hal Holbrook, Sean Young, John C. McGinley, Saul Rubinek, Sylvia Miles, James Spaden, Franklin Cover, James Karen, Josh Mostel, Millie Perkins, Terence Stamp. An ambitious young Wall Street stockbroker's quest for new clients leads him to Gordon Gekko, a financial wizard with a genius for making money. Gekko lures him into the illegal, lucrative world of corporate espionage and insider trading. 126 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+578"">DVD 578Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0094291"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Academy Award - Best Actor (Michael Douglas)
â€¢149;Golden Globes, USA - Best Performance by an Actor in a Motion Picture - Drama
â€¢149;National Board of Review, USA (Michael Douglas)


","Ѭ href=""http://www.lib.berkeley.edu/MRC/stone.html#wallstj"">See separate bibliography of reviews and articles about this filmЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Wall Street Cowboy(1939)","Directed by Joseph Kane. Cast: Roy Rogers, George (Gabby) Hayes, Raymond Hatton, Pierre Watkin. Roy and Gabby travel to the Big City and tangle with courtroom lawyers when a crooked cartel of stock marketeers hope to swindle Rogers out of his ranch. It seems that his property is rich with the valuable mineral molybdenum, which the villains want to use for their steel-mining activities. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7912"">DVD 7912Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0032107/"">Credits and other information from the Internet Movie DatabaseЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"War, Inc. (2007)","Directed by Joshua Seftel. Cast: John Cusack, Joan Cusack, Marisa Tomei, Hilary Duff, Ben Kingsley, Dan Aykroyd, Ned Bellany. Turaqistan is a country occupied by an American private corporation run by a former U.S. vice-president. In an effort to monopolize the opportunities the war-torn nation offers, the corporation's CEO hires a troubled hit man to kill a Middle East oil minister. Now, struggling with his own growning demons, the assassin must pose as the corporation's Trade Show producer in order to pull off his current hit. He has to do all this while maintaining his cover by organizing the high-profile wedding of Yonica Babyyeah, an outrageous Middle Eastern pop star, and keeping a sexy left wing reporter in check. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X433"">DVD X433Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0884224/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Werewolves of Wall Street (2002)","Directed by David DeCoteau. Cast: William Gregory Lee, Elisa Donovan, Michael Bergin, Jason Shane Scott, Bradley Stryker, Louise Lasser, Eric Roberts. Behind the Wolfe Brothers brokerage firm lies something evil. Under the watchful eye of the firm's Dyson Keller, Jeff quickly becomes one of the pack. When the bloodlust reaches the boiling point, Jeff wants out ... but the brothers have other ideas. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5851"">DVD X5851Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0339918/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
