"Source:","http://www.lib.berkeley.edu/MRC/sanfranmovies.html"
"

San Francisco and the Bay Area in the Movies
"Chan is Missing (1982)","Directed by Wayne Wang. Set in San Francisco, this sleeper concerns a Chinese-American cab driver and his nephew, who discover their friend Chan Hung has disappeared with $4000 of their savings. 80 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4972"">DVD 4972Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:56"">vhs 999:56Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0083728/"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#chan"">See separate bibliography of reviews and articles about this filmЖ
","San Francisco and the Bay Area in the Movies"
"Chinatown After Dark (1931)","Director, Stuart Paton. Cast: Carmel Myers, Rex Lease, Billy Gilbert, Barbara Kent, Edmund Breese, Frank Mayo. In Shanghai, an American Ralph Bonner is entrusted with an ancient Chinese dagger which he must transport to San Francisco. Hidden within the dagger is an extraordinarily beautiful gem which leads to many close calls for Bonner as the evil dragon-lady Madame Ying Su conspires through kidnap and murder to obtain the dagger. The comedian Billy Gilbert provides comic relief as a hapless sneezing cop. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3396"">DVD X3396Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0021743/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Class Action (1990)","Director, Michael Apted. Cast: Gene Hackman, Mary Elizabeth Mastrantonio, Colin Friels, Joanna Merlin, Laurence Fishburne. A court of law becomes a battleground for a father and daughter as they find themselves facing each other as opposing attorneys in a multimillion dollar law suit involving a potentially defective auto design that could involve corporate corruption and violations of legal ethics. San Francisco mayor Art Agnos and city supervisor Angela Alioto can be glimpsed as extras in church congregation during Gene Hackman's homage speech to his deceased wife. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2246"">DVD X2246Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0101590"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Lucia, Cynthia. ""Class Action."" Cineaste; 1991, Vol. 18 Issue 3, p48, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9606053733&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Lucia, Cynthia. ""Women on trial: The female lawyer in the Hollywood courtroom."" Cineaste, Dec92, Vol. 19 Issue 2/3, p32, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9602220008&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;McCann, Michael; Haltom, William. ""Ordinary Heroes vs. Failed Lawyers--Public Interest Litigation in Erin Brockovich and Other Contemporary Films."" Law & Social Inquiry, Fall2008, Vol. 33 Issue 4, p1043-1070, 28p Ѭ href=""http://www3.interscience.wiley.com/cgi-bin/fulltext/121531813/PDFSTART"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Turner, Jenny. ""Class Action"" Sight & Sound, Jul91, Vol. 1 Issue 3, p40, 1p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipap209-1991-001-03-000023"">Full-text of this article / review is available:UC users onlyЖ

","San Francisco and the Bay Area in the Movies"
"Colma: The Musical (2006)","Directed by Richard Wong. Cast: Jake Moreno, H.P. Mendoza, L.A. Renigen, Sigrid Sutter, Brian Raffi, Larry Soriano, Gigi Guizado, Jim Wierzba, Kat Kneisel, Allison Torneros, Paul Kolsanoff. Set in the town of Colma, just south of San Francisco, best pals Rodel, Billy, and Maribel finding themselves in a state of limbo; fresh out of high school, are just beginning to explore a new world of part-time mall jobs and crashing college parties. As newfound revelations and romances challenge their relationships with one another and their parents, the trio must assess what to hold onto, and how to best follow their dreams. This unusual musical is a love song to the city, and to the residents who dream of a better life. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9211"">DVD 9211Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0784977/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Confessions of an Opium Eater (1962)","Directed by Albert Zugsmith. Cast: Vincent Price, Linda Ho, Richard Loo, King Vidor, Florence Vidor. Set in San Francisco's Chinatown during the Tong wars of the 1800s, women are sold as slaves by an evil drug lord named Ling Tang. DeQuincey is hired to find a woman who has escaped the slave trade and bring her back. As he hides out in Chinatown he discovers the wonders of the opium trade and the drug's hallucinogenic effects. ""Filled with absurd dialogue, Asian stereotypes and A-typical Zugsmith exploitation touches, the film is a classic of the early 60's sleaze genre."" 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5141"">DVD 5141Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0055864/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"The Conversation (1974)","Directed by Francis Ford Coppola. Cast: Gene Hackman, John Cazale, Allen Garfield, Cindy Williams, Frederic Forrest, Robert Duvall. A provoking mystery-suspense drama that explores the morality of privacy in the story of Harry Caul, a surveillance expert, who conducts a routine surveillance job only to later find himself suspicious that he has become an unwitting player in a murder scheme. Filmed in Union Square and various other San Francisco locations. See Ѭ href=""http://www.imdb.com/title/tt0071360/locations"">IMDB locations for more informationЖ. 113 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+424"">DVD 424Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:950"">vhs 999:950Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0071360/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/CoppolaBib.html#conversation"">See separate bibliography of reviews and articles about this filmЖ","San Francisco and the Bay Area in the Movies"
"Crime of Passion (1956)","Directed by Gerk Oswald. Cast: Barbara Stanwyck, Sterling Hayden, Raymond Burr, Fay Wray, Virginia Grey, Royal Dano. Kathy Ferguson is smart, witty, and an ace at her job as an advice columnist at a San Francisco newspaper with her name on billboards all over town. But Kathy makes a big mistake, she falls in love and marries Bill Doyle, a Los Angeles detective, and begins to realize that Bill wants nothing more than this domesticity for her, forever. Kathy's thwarted ambition turns ugly, and before long this capable career woman is capable of anything. 86 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3484"">DVD 3484Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2413"">vhs 999:2413Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0050271"">Credits and other information from the Internet Movie DatabaseЖ","San Francisco and the Bay Area in the Movies"
"Dark Passage (1947)","Directed by Delmer Daves. Cast: Humphrey Bogart, Lauren Bacall, Bruce Bennett, Agnes Moorehead, Tom D'Andrea. After successful plastic surgery on his face, a man wrongly convicted of murder hides out in an apartment in San Francisco (1360 Montgomery Street at Filbert). Tension builds in this tale of a fugitive hiding from the law as he feverishly works to prove his innocence. See: Ѭ href=""http://www.movie-locations.com/movies/d/darkpassage.html"">World Guide to Movie Locations for more information.Ж 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3485"">DVD 3485Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0039302/%3ECredits%20and%20other%20information%20from%20the%20Internet%20Movie%20Database%3C/a%3E%3Cdd%3E%3Ca%20HREF="">See separate bibliography of reviews and articles about this filmЖ","San Francisco and the Bay Area in the Movies"
"Days of Wine & Roses (1962)","Directed by Blake Edwards. Cast: Jack Lemmon, Lee Remick, Charles Bickford, Jack Klugman, Alan Hewitt, Tom Palmer. A domestic drama which reveals the corrosive effects of alcoholism on a hardened young advertising executive and his attractive young wife, both of whom drink heavily to compensate for their insecurity. The film's Northern California locations included San Francisco, Albany and the Golden Gate Fields racetrack. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4677"">DVD 4677Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0055895/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Dick Tracy (1990)","Directed by Warren Beatty. Cast: Warren Beatty, Madonna, Al Pacino, Dustin Hoffman. All Tess Trueheart wants is to settle down to a quiet life with her boyfriend, detective Dick Tracy. But there's something pretty rotten going on in San Francisco, with someone pretty rotten behind it, and Tracy has his hands full with the likes of villain Big Boy Caprice and with the almost irresistable Breathless Mahoney. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1906"">DVD X1906Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0099422/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/gangsterbib.html#dick"">See separate bibliography of reviews and articles about this filmЖ
","San Francisco and the Bay Area in the Movies"
"Diez (2005)","Directed by Immanuel Martin. Cast: Ben Soriano, Juana Samayoa, Ali Allie, Sonja Starkovich, Araceli Gonzalez. 'Diez' follows the story of Luis, a hard working Mexican immigrant in San Francisco's Mission District. When Luis finds a rare and expensive Eames chair for ten dollars at a yard sale, his world intersects with that of the chair. In a neighborhood where people struggle to make a living, Luis must decide what he should do with the chair. 'Diez' shows the many different realities that exist the same neighborhood and the contrasting values that accompany them. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3720"">DVD X3720Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0427151/"">Credits and other information from Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
