"Source:","http://www.lib.berkeley.edu/MRC/transportation.html"
"

Transportation Studies

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvidesignVid.html"">Environmental DesignЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvironmentVid.html"">The Environment & Natural ResourcesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html#commer"">Television: CommercialsЖ (for car commercials/advertising)","Transportation Studies"
"History of Advertising Animation, 1930-1940","Presents a collection of animated advertising films produced between 1930 and 1940 which provide insight into the marketing strategies introduced into movie theaters and early television. Included here are advertising cartoons promoting Oldsmobile and Chevrolet cars and Kellogg's Rice Krispies.
My merry Oldsmobile / Fleischer Studios for Oldsmobile Motor Company (1932, b&w, 6:28 min.) -- Down the gasoline trail / Jam Handy Organization for Chevrolet (1935, b&w, 7:57 min.) -- Coach for Cinderella / Jam Handy Organization for Chevrolet (1936, col., 9:22 min.) -- Ride for Cinderella / Jam Handy Organization for Chevrolet (1937, col., 10:50 min.) -- Peg Leg Pedro / Jam Handy Organization for Chevrolet (1938, col., 9:l8 min.) -- Extra Esso / produced for Esso Standard Oil Company (1938, b&w, 1 min.) -- Breakfast pals / Cartoon Films Limited for Kellogg Company (1939, col., 1:21 min.) -- Princess and the pauper / Jam Handy Organization (1939, col., 9:52 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4275"">DVD 4275Ж","Transportation Studies"
"Hometown Blues: The Struggle Over Growth in the Bay Area","A documentary addressing the San Francisco Bay Area's housing and growth crisis. Explores quality of life issues -- affordable housing, transportation, the environment -- and poses possible solutions. Elected officials and citizens as well as community, environmental and business leaders weigh in on these topics. Association of Bay Area Governments. [Oakland, CA]: ABAG, 1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7417"">Video/C 7417Ж","Transportation Studies"
"In The Pit (En el hoyo)","A powerful documentary about the personal struggles behind the construction of a massive elevated freeway over Mexico City. With lyricism and compassion, this reveals the medieval nightmare underneath an ambitious utopian dream. Mexico City's Periferico Beltway, more than ten miles of elevated reinforced concrete, supported by massive towers, has been planned to both soar above and link the city's densely gridlocked urban neighborhoods. But while the roadway is a spectacular miracle of modern architectural design, it comes with a human cost. Written and directed by Juan Carlos Rulfo. 2006. 84 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8334"">DVD 8334Ж","Transportation Studies"
"In the Street / On the Ground","Examines city planning initiatives in Toronto, Canada focusing on traffic calming in residential neighborhoods, a street enhancement controversy, and bicycle infrastructure in the city. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4196"">Video/C 4196Ж","Transportation Studies"
"The Industrial Revolution: Evolving Transportation Systems","Pre-industrial Great Britain managed with toll roads, but industrialization required low-cost, efficient transportation systems. This program examines developments in road building and the revolutionary impact of canals, and charts the rise and subsequent decline of canals as a good example of social and technological change. 1992. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8730"">Video/C 8730Ж","Transportation Studies"
"The Industrial Revolution. 5, The Growth of Towns and Cities","This program examines how industrialization in Great Britain led to urbanization, which led to higher rents and overcrowding, which in turn led to governmental controls. It also shows how railways and improved transportation opened up cities, and led to the growth of suburbs. 1992. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8386"">Video/C 8386Ж","Transportation Studies"
"The Industrial Revolution: Railway Age","Examines the enormous impact of the introduction of railways in Britain, covering the technological revolution, the commercial and human reactions that culminated in Railway Mania, and the economic and social results. 1992. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8731"">Video/C 8731Ж","Transportation Studies"
"The Iron Road (American Experience)","Relates the saga of the building of the transcontinental railroad by the Central Pacific Railroad Company and the Union Pacific Railroad Company with special emphasis on the personal experiences and living conditions of the laborers who built the railroad. 1990. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC.1926"">Video/C.1926Ж","Transportation Studies"
"A Job at Ford's.(Great Depression)","Just before the advent of the Great Depression, Henry Ford controlled the most important company in the most important industry in the booming American economy. His offer of high wages in exchange for hard work attracted workers to Detroit, but it began to come apart when Ford hired a private police force to speed up production and spy on employees. After the depression hit in 1929, these workers faced a new, grim reality as unemployment skyrocketed.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1162"">DVD X1162Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3171"">Video/C 3171Ж","Transportation Studies"
"Key System Scrapbook","See the Key System from its early days. All the lines, A through H, and the streetcar lines are represented. Ride the Key ferry boats and interurban units from the beginning in 1903 to the end in 1958. Features footage of the electric interurban line built by ""Borax Smith,"" the U.S. Navy war industries in Richmond and the 1939 Treasure Island World's fair. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9923"">DVD 9923Ж","Transportation Studies"
"[Kostof, Spiro] Spiro Kostof Lecture. Architecture 170B, Spring 1991 Pt. 14 - March 12, 1991","Suburbs in America and Europe. Beginning with Glendale, OH (1851) and Llewellyn Park, NJ (1855) suburbanization is examined as land speculation facilitated by new modes of transportation: ferries, street cars, trolleys and, ultimately, the automobile.
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/d4119.14.asx"">View this video onlineЖ Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Transportation Studies"
"The Last Truck: Closing of a GM Plant","Tells the story of the closing of the once-mighty General Motors Assembly Plant in Moraine, Ohio, as lived by the workers on the factory line. Follows the months and weeks leading to the last day of the plant, as workers come to terms with saying goodbye to jobs and a community they loved. Directed by Steven Bognar and Julia Reichert. 2009. 41 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2984"">DVD X2984Ж","Transportation Studies"
"Lewis Mumford on the City: The City -- Cars or People?","Studies the problem of transportation versus people in the city, explaining the importance of making the city accessible without allowing transportation to make it congested and uninhabitable. Discusses the threat posed by the increasing number of private automobiles in the city. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9630"">Video/C 9630Ж","Transportation Studies"
"Low and Slow","Filmed in San Jose, California, this documentary explores lowriding, a type of custom car building prevalent in the Mexican-American community. Features interviews with lowriders, particulary women enthusiasts about their attitudes towards the drivers, their cars and the social dimensions of low-rider culture. Directed by Melina Alexa Ramirez and Aranttza Sauza. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 2009. 12 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7380"">DVD X7380Ж","Transportation Studies"
"Lowriders","Examines the conflicts with community and police in Compton, California, surrounding the low riders and their cruising, culture and car rallies in customized automobiles. Producer/director, Gregory A. Thomson. 1995. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4368"">Video/C 4368Ж","Transportation Studies"
"Lowriding in Aztlan","Examines the lowriding culture in Northern California and attempts to dispel rumors and negative stereotypes associated with lowriding. Contains interviews with lowriders and lowriding experts, cruising and car show footage, and showcases lowriding artwork and design. Special features: Deleted scenes ; how to airbrush your own lowrider bike / with Freedy Alfaro ; Xavier: the X-Man's Sunday night oldies show (audio only) ; Sunday super oldies show / hosted by Tony Sandoval (audio only). Directed by Daniel Osorio. 2005. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1103"">DVD X1103Ж","Transportation Studies"
